stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,heart,mesenchyme,mucous,neural,paraxial.mesoderm,pericytes,periderm,pgc
  3-4,0,843.39,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0
  5-6,12.26,165.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,2.63,0,0,0,0,0,10.51,5.26,0,0,2.63
 14-21,0,0,0,1,24,0,0,0,1,0,0,1,0,0,0,0
 24-34,0,0,0,0.82,27.91,0,0,0,0,0,0,0.82,0,0,0,0
 36-46,0,0,0,0,2.42,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,1.15,0,0,0,0,0,0,2.87,0,0,0,0
 60-70,0,0,0,0,10.8,1.96,0,0,0,0.98,0,0.98,0,0,0,0
 72-82,0,0,0,0,32.39,0,0,0,0,0.98,0,1.96,0,0,0,0
 84-94,0,0,0,0,13.81,0,0,0,0,0,0,1.06,0,0,0,0
 96-106,0,0,0,0,25.14,0,0,1.09,0,0,1.09,1.09,0,0,0,0
108-118,0,0,0,0.77,16.09,0.77,0.77,0,0,0,0,0.77,0,0.77,0,0
120,0,0,0,0,23.52,0,0,0,0,0,0,0,0,0,0,0
