stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,421.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,0,208.41,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,10.51,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.79,0,0,0,9.44,0,0,3.15,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,4,2,2,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,2,20,0,0,1,1,0,0,4,0,0,5,10,0,0,0,0,36
 24-34,0,0,0,0.82,4.1,1.64,8.21,0,0,0,3.28,0.82,0,0.82,0,3.28,0,0.82,3.28,13.95,0,0,7.39,76.34,0.82,0.82,7.39,0,0,0.82,0,0,0.82,0.82,22.16,0,0,2.46,0,202.75
 36-46,0,0,0,0,0.81,0,19.34,0,0,0.81,8.06,0,0,0,0,2.42,0,0.81,16.92,10.47,0,0,0.81,68.48,0,0,29,0,0,2.42,0,0.81,0,0,13.7,0,0,2.42,0,293.26
 48-58,0,0,0,0,2.87,0,30.41,0,0,1.72,6.89,0,0,0.57,0,9.75,0,0,22.95,21.23,0.57,0,4.02,54.51,0.57,0.57,42.46,0,0.57,2.3,0,0.57,0.57,0,18.36,0,0,0.57,0,368.38
 60-70,0,0,0,0,3.93,0,13.74,0,0,0.98,2.94,0,0,0,0,2.94,1.96,0,13.74,9.82,0,0.98,1.96,33.37,0,0,39.26,0,0,1.96,0,0,0,0,3.93,0,0,0,0,380.83
 72-82,0,0,0,0,3.93,1.96,41.23,0,1.96,3.93,4.91,0.98,0,0.98,0,5.89,0.98,0.98,6.87,5.89,0,0,0.98,18.65,0,0,59.88,0,0,3.93,0,0,0,0,0.98,0,0,0.98,0,368.12
 84-94,0,0,0,0,7.43,1.06,65.85,1.06,1.06,1.06,11.68,0,0,0,0,9.56,1.06,0,12.74,12.74,0,1.06,1.06,24.43,0,0,84.96,0,0,1.06,0,0,0,0,6.37,0,0,1.06,1.06,250.64
 96-106,0,0,1.09,0,13.11,4.37,57.92,0,0,1.09,8.74,0,0,3.28,0,1.09,0,0,4.37,16.39,1.09,3.28,4.37,39.34,0,0,98.36,0,0,2.19,0,1.09,0,0,3.28,1.09,0,0,1.09,254.63
108-118,0,0,0,0,5.36,0.77,9.19,0,0,0,5.36,0,0,1.53,0.77,5.36,0.77,2.3,11.49,5.36,0,1.53,1.53,14.55,0,0,126.38,0,0,3.06,0,0,0,0,0,0.77,0.77,0,0,239.75
120,0,0,0,0,11.76,0,5.88,0,0,0,0,0,0,0,0,3.92,0,0,0,11.76,0,0,0,9.8,0,0,82.31,0,0,1.96,0,0,0,0,0,0,0,3.92,0,97.99
