stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,3,0,22,0,0,0,0,0,0,0,0,0,0,0,2,0,0,61,1,0,0,0,0,0,2,0,16,0,0,0,0,0
 24-34,0,0,0,0,0,0,182.23,0,0,0,1.64,0,0,0,0,0,0,0,1.64,0,1.64,122.31,0,0,0.82,0.82,0,0,0,0,15.6,0,0,0,0,0
 36-46,0,0,0,0,0,0,292.46,0,0,0,5.64,0,0,0,0,0,0,0,2.42,0,1.61,197.39,0,0,0.81,0,0,0.81,0,0,15.31,0,0,0,0,0
 48-58,0,0,0,0,0.57,0,469.37,0.57,0.57,0,17.79,0,0,0.57,0,0,0.57,0,5.16,0,0.57,231.24,0,0.57,0,0,0,1.15,0,0,25.82,0,0,0,0,0.57
 60-70,0.98,0,0,0,0,0,815.64,0.98,0,0.98,27.48,0,0.98,0,0,0,0,0,9.82,0.98,1.96,295.44,0,0,1.96,0,0,0.98,0,0,38.28,0,0,0,0,0
 72-82,0,0,0,0,1.96,1.96,707.78,0,0,1.96,62.83,0,0,0.98,0,0,0,0,19.63,1.96,1.96,293.52,0,0,0,0,0,0.98,0,0,24.54,0,1.96,0,4.91,0.98
 84-94,0,0,0,0,8.5,0,436.5,0,0,1.06,44.61,1.06,0,0,1.06,2.12,0,0,10.62,0,4.25,155.06,0,0,1.06,0,0,2.12,0,0,15.93,0,1.06,1.06,2.12,0
 96-106,0,0,1.09,0,2.19,1.09,299.44,0,0,0,40.44,1.09,1.09,1.09,0,0,0,0,17.49,1.09,2.19,120.21,0,1.09,0,0,0,0,0,0,5.46,1.09,0,0,5.46,0
108-118,0,0,0,0,1.53,0,222.9,0,0,0,30.64,0,0,0,0,0.77,0.77,1.53,13.02,0,1.53,126.38,0,1.53,0,0,0.77,1.53,0,0.77,3.06,0.77,3.06,0.77,3.06,0
120,0,0,0,0,3.92,0,156.78,0,0,1.96,25.48,0,1.96,0,0,0,0,0,15.68,3.92,0,129.35,0,0,1.96,0,0,0,0,0,1.96,0,0,0,5.88,0
