stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.39,0,0,0,0,1.64,0.82,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,4.03,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0.57,0,0,0,0,1.15,0,0,0,0,0,0,0.57,0,0,0,0,5.16,0,0,0,0,1.15,0,1.15,0,0,0,0,0
 60-70,0,0,0,0,0,0.98,0,0,0,1.96,18.65,0,0,0,0,0,0,1.96,0.98,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.98,0.98,0,9.82,0,0,0,5.89,24.54,0,0,0,1.96,0,0.98,0,15.71,0.98,0,0,37.3,0,0,0,0.98,1.96,0,0,0,0.98,0,2.94,1.96
 84-94,0,0,2.12,3.19,0,9.56,1.06,0,0,1.06,99.83,0,0,0,2.12,0,0,0,9.56,0,1.06,2.12,19.12,1.06,2.12,0,0,5.31,1.06,0,0,1.06,1.06,1.06,0
 96-106,0,0,7.65,7.65,2.19,25.14,0,1.09,3.28,7.65,111.47,0,0,2.19,1.09,1.09,0,2.19,32.79,4.37,1.09,3.28,73.22,0,3.28,0,0,16.39,0,2.19,1.09,0,0,5.46,2.19
108-118,1.53,0.77,6.13,1.53,2.3,20.68,0,5.36,0.77,6.13,131.75,0,0,1.53,6.13,0,0,0.77,18.38,0.77,3.06,4.6,58.21,0,0.77,0,0.77,9.96,0,0.77,1.53,0.77,0.77,0.77,0.77
120,1.96,0,9.8,0,1.96,17.64,0,0,0,1.96,62.71,0,0,0,1.96,1.96,0,0,15.68,0,1.96,5.88,43.12,0,0,0,0,5.88,0,1.96,0,0,0,0,0
