stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,110.33,116.46,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,30.65,6.13,0,0,6.13,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,189.27,10.51,13.14,0,0,2.63,0,0,0,0,0,105.15,0,0,0,0,0,0,0,0,0,97.26,197.15,0,0,701.87,0,0,2.63,0,2.63,0,0,0,0,0,0,0
 10-12,0,12.59,34.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.05,289.52,0,0,928.36,0,3.15,3.15,3.15,25.18,6.29,0,0,0,0,0,0
 14-21,0,1,8,22,18,30,0,0,0,1,2,2,6,0,0,0,0,114,0,0,61,21,370,1,0,20,0,0,0,191,0,42,11,0,0,12,0,0
 24-34,1.64,0,2.46,15.6,4.93,13.95,0,2.46,12.31,0.82,0.82,0.82,32.01,0,1.64,0,0,403.86,0,0.82,104.25,42.68,22.98,0,0,0,2.46,0,0,0,2.46,24.63,16.42,0,0,72.24,0,1.64
 36-46,0,0,0,0,0.81,12.09,0,1.61,35.45,0.81,0,0,28.2,0,0,1.61,0,391.56,0,10.47,104.74,27.39,9.67,0,0,0,2.42,0,0,0,2.42,0,6.45,0,0.81,27.39,0,1.61
 48-58,0,0,0,1.15,0,18.94,0,1.15,34.43,1.72,0,0,13.2,0.57,0,1.15,0.57,323.63,0,8.03,74.59,30.41,6.31,0,0,0,4.02,0,0,0,1.15,0,11.48,0,0.57,13.2,0,0.57
 60-70,0,0,0,0,0.98,39.26,0,0,34.35,7.85,0,0,11.78,0,0,0,0,514.32,0,9.82,49.08,52.02,17.67,0,0.98,0,2.94,0,0,0,0.98,0,12.76,0,2.94,8.83,0.98,0.98
 72-82,0,0,0,0,0.98,82.46,0,0,42.21,28.47,0,0,18.65,0.98,0,0.98,0,699.92,0,28.47,56.94,93.26,5.89,0,0.98,0,3.93,0.98,0,0,0,0,19.63,0,7.85,12.76,9.82,2.94
 84-94,1.06,0,0,6.37,0,79.65,0,2.12,31.86,20.18,0,0,9.56,2.12,0,5.31,0,473.67,0,30.8,48.85,58.41,9.56,0,0,0,2.12,0,0,0,5.31,0,6.37,0,7.43,16.99,6.37,2.12
 96-106,1.09,0,0,7.65,0,88.52,1.09,3.28,26.23,34.97,2.19,0,17.49,1.09,1.09,1.09,1.09,493.97,0,28.41,37.16,87.43,15.3,0,5.46,0,6.56,3.28,0,0,5.46,0,2.19,1.09,5.46,26.23,13.11,0
108-118,0,0,0,6.13,0,72.77,0.77,2.3,29.87,27.57,0,0,17.62,0.77,2.3,3.83,0,481.02,0.77,24.51,36.77,68.17,12.26,0,2.3,0,3.83,2.3,0,0,6.13,0,1.53,0,4.6,18.38,5.36,3.06
120,0,0,0,1.96,3.92,82.31,1.96,1.96,33.32,15.68,0,0,9.8,1.96,0,1.96,0,415.47,0,19.6,35.28,76.43,15.68,0,0,0,11.76,0,0,0,3.92,0,3.92,0,5.88,21.56,1.96,0
