stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,935.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,343.26,0,6.13,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,0,0,0,0,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,49.95,7.89,0,0,76.23,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.53,6.29,0,0,59.79,0,0,0,0,12.59,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,0,11,9,2,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,2,102,4,0,1,3,0,7,2,8,1,2,8,62,0,0,17,0,0
 24-34,0,0,1.64,0.82,7.39,2.46,11.49,0,0,0,3.28,1.64,0,2.46,3.28,0,0,0,0,15.6,0.82,0,4.1,242.15,2.46,7.39,2.46,0,0,44.33,0,0,0,0.82,0.82,92.76,0,0,45.15,0,0
 36-46,0,0,0,0,4.83,0,44.31,0,1.61,0,8.86,0.81,0,3.22,4.03,0,0,0.81,0,15.31,0,0,4.03,379.47,1.61,6.45,0,0,0,37.87,0.81,0,0,0,0,107.96,0,0,19.34,0,0.81
 48-58,0,0,0,0,5.74,0.57,88.94,0,1.15,0.57,27.54,0,0,0,4.59,0.57,0,0,2.3,23.53,0,0.57,3.44,468.22,0.57,2.3,4.02,0,0,22.38,0,0,0,0,0,96.97,0,0,22.38,0,2.87
 60-70,0,0,0,0,5.89,0,174.71,0,0.98,0,23.56,0,0,0,7.85,0,0,0,0.98,28.46,0,0,3.93,551.62,0.98,1.96,0,0,0,21.59,0,0,0.98,0,0,86.37,0,0,16.69,0.98,0
 72-82,0,0,3.93,0,6.87,2.94,230.69,0.98,0,5.89,37.3,2.94,0,0.98,10.8,0.98,0,0,0,53.99,0,0,2.94,647.9,0,8.83,6.87,0,0,15.71,0,0,0,0,0,48.1,1.96,0.98,29.45,2.94,3.93
 84-94,0,0,1.06,1.06,11.68,0,172.05,0,2.12,0,23.36,3.19,0,1.06,22.3,2.12,0,1.06,2.12,26.55,0,2.12,0,303.74,0,3.19,3.19,0,2.12,52.04,0,0,0,1.06,0,25.49,3.19,1.06,18.05,0,1.06
 96-106,0,0,1.09,0,12.02,3.28,160.65,0,2.19,0,26.23,5.46,0,4.37,21.86,6.56,0,0,0,28.41,1.09,4.37,1.09,241.52,1.09,7.65,4.37,0,2.19,44.81,0,0,0,0,0,18.58,0,2.19,30.6,0,2.19
108-118,0,0,0,0,16.09,3.06,121.79,0,0,0.77,27.57,3.83,0,0.77,18.38,5.36,0.77,0,0.77,22.98,1.53,0.77,1.53,276.51,0,4.6,3.06,0,0,22.21,0,0,0,0,0,10.72,0.77,0,26.04,0,1.53
120,0,0,0,0,25.48,1.96,92.11,0,0,0,15.68,5.88,0,0,23.52,7.84,0,1.96,0,19.6,1.96,0,7.84,333.16,0,5.88,1.96,0,0,33.32,0,0,0,0,0,17.64,0,0,15.68,0,0
