stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,neural,periderm,taste,vascular.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0
 48-58,0,0,0,0,0,0,0.57,0,0,0,0,0,0.57,0,0,0
 60-70,0,0,0.98,0,0.98,0,0.98,0,0,0,0.98,0.98,0,0,0,0
 72-82,0,0,0,0,0,0,0.98,0,0,0,1.96,0,0.98,0,0,0
 84-94,0,0,0,0,1.06,0,1.06,0,0,1.06,1.06,2.12,1.06,0,0,0
 96-106,0,0,1.09,1.09,1.09,1.09,18.58,0,1.09,0,12.02,0,5.46,1.09,0,0
108-118,0,0,0.77,1.53,2.3,0.77,42.13,0.77,0,0,26.04,1.53,6.89,0,0.77,0.77
120,0,0,1.96,0,3.92,0,86.23,0,0,0,39.2,0,7.84,0,0,0
