stage,axial,blastomeres,epidermis,erythrocytes,eye,glial,gut,lateral_line,mesenchyme,neural,paraxial_mesoderm,spinal_cord
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,2.63,15.77,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0
 14-21,0,0,1,1,0,0,0,0,0,0,0,2
 72-82,0,0,0,0,0.98,0.98,0,0,1.96,2.94,0,0
 84-94,0,0,0,0,0,1.06,0,0,0,4.25,0,0
 96-106,0,0,1.09,0,0,0,1.09,2.19,1.09,1.09,0,0
108-118,0,0,0,0,0,1.53,1.53,0,0.77,6.13,0,0
120,0,0,0,0,0,1.96,0,0,0,1.96,0,0
