stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.78,2.63,0,0,34.17,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,9.44,0,0,0,28.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487.78,0,0,0,94.41,0,0,0,12.59,0,0,0,0,0,0,0,0
 14-21,0,0,2,21,29,3,0,47,0,0,0,12,0,0,1,0,0,0,22,0,2,0,5,948,1,5,0,3,0,1,3,0,0,1,737,0,0,0,0,0
 24-34,0,0,2.46,21.34,9.85,3.28,0,219.99,0,0,0,7.39,0,0.82,0,0.82,0,0.82,21.34,0,11.49,0,8.21,2582.41,1.64,9.03,1.64,0,0,5.75,0.82,0.82,0,0.82,976.82,0,0,2.46,0,0.82
 36-46,0,0,0,0.81,4.83,0,0,943.44,0,0,1.61,17.72,0.81,2.42,0.81,0,0,0,16.11,3.22,12.89,0,8.06,4048.49,2.42,6.45,3.22,0,0,10.47,0,0,2.42,0,1121.49,0,0,4.03,0,2.42
 48-58,0,0,0,0,17.21,2.3,0,1250.32,1.15,2.87,0.57,78.61,0,1.15,1.15,0.57,1.72,0.57,10.33,1.15,33.28,4.02,6.31,3756.13,2.87,5.16,1.72,0,0,7.46,0,1.15,0.57,0,899.15,0,0,2.87,0,2.87
 60-70,0,0,1.96,0,7.85,4.91,0,1309.35,1.96,1.96,1.96,45.15,0,0,0.98,0,0.98,0,11.78,0,33.37,0.98,3.93,3323.43,0,1.96,3.93,0,0,7.85,0,0.98,0,0,611.49,0,0.98,0.98,0,1.96
 72-82,0,0,0,2.94,20.61,2.94,0,834.41,0,2.94,0.98,64.79,2.94,1.96,3.93,0,1.96,3.93,12.76,0.98,52.03,0.98,0.98,2219.54,0,2.94,2.94,0.98,0.98,7.85,0,0,0.98,0,283.7,0.98,1.96,3.93,0.98,3.93
 84-94,0,0,1.06,5.31,20.18,1.06,0,602.18,0,2.12,1.06,59.47,2.12,2.12,4.25,0,2.12,1.06,32.92,1.06,48.85,1.06,8.5,1121.51,1.06,4.25,4.25,0,0,5.31,0,0,0,0,176.3,0,3.19,3.19,3.19,0
 96-106,0,0,0,12.02,21.86,4.37,0,382.5,0,0,0,46.99,0,2.19,9.84,1.09,1.09,1.09,26.23,0,30.6,2.19,1.09,836.03,0,2.19,0,0,0,5.46,0,0,1.09,0,87.43,1.09,2.19,3.28,2.19,2.19
108-118,0,0,0,17.62,19.92,0,0,367.66,0,0.77,0,37.53,2.3,0,3.06,1.53,0.77,0,58.98,0,27.57,0.77,4.6,982.73,0,5.36,0.77,0,0,2.3,0,1.53,0,0,51.32,0.77,0,1.53,2.3,0
120,0,0,0,5.88,21.56,9.8,1.96,388.04,0,5.88,1.96,82.31,0,0,3.92,1.96,0,0,62.71,1.96,33.32,0,5.88,1213.11,1.96,9.8,0,0,0,5.88,0,0,0,0,56.83,0,1.96,0,1.96,0
