stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,glial,heart,ionocyte,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,7.89,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,2,0,2,0,0,1,0,0,0,2,0,1,8,1,0,0,0,0,1,12,0,0,0,0
 24-34,0,0,0,1.64,0,0.82,0,0,0,0,0,0,0,53.36,0,0,0,0,0,0,14.78,0,0,0,0
 36-46,0,0,0,0,0,3.22,0,0,0,0,0,0,0.81,99.1,0,0.81,0,0,0,0,26.59,0,0,0,0
 48-58,0,0,0,0.57,0,4.59,1.72,0,0,0,0,0,0,117.06,0,1.15,0.57,0,0,0,25.82,0.57,0,0,0.57
 60-70,0,0,0,0,0,18.65,2.94,0,0,0,1.96,0,0.98,195.32,0,0.98,0,0,0,0,29.45,0,0.98,0,0
 72-82,0,0,0,1.96,0,35.34,2.94,0,0,0,6.87,0.98,0.98,163.94,0,0.98,0,0,0,0,16.69,0,0,0,0.98
 84-94,0,0,0,2.12,0,23.36,6.37,1.06,1.06,0,1.06,0,1.06,90.27,0,0,2.12,0,2.12,0,4.25,0,0,1.06,0
 96-106,0,0,0,2.19,0,10.93,2.19,0,0,1.09,3.28,0,0,74.31,0,0,1.09,0,1.09,0,3.28,0,0,1.09,0
108-118,0,0.77,0,0.77,0.77,6.13,2.3,0,0,0,2.3,0,0,71.23,0,0,0,0,0.77,0,3.06,0,0.77,0,0
120,0,0,0,0,0,9.8,9.8,0,0,0,0,0,0,101.91,0,0,0,0,0,0,1.96,0,0,0,0
