stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.14,5.26,0,13.14,0,0,0,0,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,23.66,68.35,0,233.96,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,6.29,9.44,0,25.18,0,3.15,0,6.29,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,40.91,129.03,0,333.58,0,0,3.15,25.18,0,9.44,0,0,0,0,0,0
 14-21,0,0,1,46,23,27,0,6,0,0,0,5,19,0,0,0,0,0,0,1,75,0,0,240,65,54,0,6,0,3,537,6,128,2522,21,0,0,2,0,0
 24-34,0,0,1.64,2.46,3.28,0.82,0,3.28,0,0,3.28,4.1,0,0,0,0,0.82,0,0.82,0,78.8,0,0.82,207.68,45.97,1.64,0.82,0,0,5.75,4.1,0,17.24,339.83,23.8,0,0,0.82,0,0
 36-46,0,0,0.81,0,0.81,0,0,3.22,0,0,0,2.42,1.61,0.81,0.81,0,0,0.81,1.61,0,96.68,0,0,70.09,27.39,1.61,1.61,0,0,5.64,0.81,0,2.42,1.61,5.64,0,0,0,0,0
 48-58,0,0,0,0,0.57,0,0,2.87,0,0,0.57,1.15,0,0,0.57,0,0,0,0,0,94.1,0,1.15,36.15,20.66,0.57,0.57,0,0,1.72,0,0,0,0.57,5.16,0,0,0,0,0
 60-70,0,0,0.98,0,0,0,0,8.83,0,0,0,0.98,3.93,0,0,0,0,0.98,0,0,80.48,0,0,25.52,16.69,0.98,0.98,0,0,1.96,0,0,0,0,4.91,0,0.98,0.98,0.98,0
 72-82,0,0,2.94,0,1.96,0,0,14.72,0,0,1.96,0.98,11.78,0,1.96,0,0,0,0,0,101.11,0.98,0,18.65,14.72,0,0.98,0,0.98,3.93,0,0,0,0,0.98,1.96,0.98,2.94,0,0.98
 84-94,0,0,4.25,0,1.06,1.06,1.06,6.37,1.06,0,0,2.12,6.37,1.06,3.19,2.12,0,0,0,0,57.35,0,0,23.36,5.31,1.06,1.06,0,0,6.37,0,0,0,0,1.06,0,0,0,0,0
 96-106,0,0,0,0,3.28,0,0,5.46,0,3.28,0,2.19,4.37,0,0,0,0,0,0,0,54.64,1.09,2.19,17.49,8.74,0,0,0,1.09,5.46,0,0,0,0,0,0,1.09,0,0,0
108-118,0,0,0,0,0.77,0,3.83,6.13,0,0,0,3.06,4.6,0,1.53,0,1.53,0.77,0,0.77,32.17,0,1.53,17.62,8.43,1.53,0,0,0.77,3.06,0,0,0,0,1.53,0,0.77,1.53,0,0
120,0,0,0,0,1.96,0,0,11.76,0,0,1.96,0,1.96,0,0,0,0,0,0,0,33.32,0,1.96,21.56,7.84,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0
