stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,105.42,1515.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0
  5-6,226.8,1912.45,6.13,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,36.78,0,0,0,24.52,49.04,0,0,0,0,0,0
  7-9,39.43,42.06,78.86,0,0,152.47,0,0,0,0,105.15,0,0,0,0,0,0,0,0,0,0,1790.15,18.4,0,0,733.41,10.51,21.03,0,0,0,0,0
 10-12,3.15,44.06,50.35,0,12.59,62.94,0,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,947.24,15.73,0,0,387.08,3.15,12.59,0,34.62,3.15,0,0
 14-21,0,0,2,7,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,2,42,4,0,0,1,0,1,7,1,6,7,2
 24-34,0,0,0,3.28,0.82,36.12,0.82,0,3.28,0,0,0.82,0,0,0,0,0,10.67,0,0,3.28,168.28,0.82,0,0.82,0,6.57,0,0,0,0.82,27.09,2.46
 36-46,0,0,0,3.22,0,77.34,0,0,4.03,0.81,0,0,0,0,0,0,0,12.09,0,0,1.61,140.19,0.81,0,0,0,2.42,0,0,0,0,20.95,1.61
 48-58,0,0,0,0.57,0,59.1,0,0,1.72,0,0,0,0,0.57,0,0,0.57,7.46,0.57,0,1.15,43.61,0,0,0.57,0,1.15,0,0,0,0,12.05,0
 60-70,0,0,0,4.91,0,72.63,0,0.98,4.91,0,0,0,0,0.98,0.98,0,0,16.69,0,0.98,0.98,49.08,0,0,0,0,0.98,0,0,0,0,2.94,0.98
 72-82,0,0,0,0,0,18.65,0,0,1.96,0,0,0,0,0,0,0,0,7.85,0,1.96,0,29.45,0,0.98,0,0,0,0,0,0,0,1.96,0
 84-94,0,0,0,1.06,1.06,13.81,0,1.06,1.06,0,0,0,0,0,0,0,0,20.18,0,1.06,1.06,11.68,0,0,1.06,0,2.12,0,0,0,0,0,1.06
 96-106,0,0,0,0,0,4.37,0,0,3.28,0,0,0,0,0,0,0,0,2.19,0,0,2.19,4.37,0,0,0,0,0,0,0,0,0,0,1.09
108-118,0,0,0,0,3.06,3.06,0,0,3.83,2.3,0,0,0,0,0,0.77,0.77,1.53,0,0.77,0,9.19,0,0,0.77,0,0.77,0,0,0,0,0.77,0.77
120,0,0,0,1.96,3.92,21.56,0,0,3.92,1.96,0,0,3.92,0,0,0,0,5.88,0,0,1.96,27.44,0,0,1.96,0,0,0,0,0,0,0,0
