stage,axial,blastomeres,endoderm,eye,neural,notochord,paraxial_mesoderm,periderm,pgc
  3-4,131.78,1963.51,0,0,0,0,0,52.71,0
  5-6,42.91,514.89,0,0,0,0,12.26,24.52,0
  7-9,2.63,7.89,13.14,13.14,84.12,5.26,26.29,0,7.89
 10-12,0,0,6.29,3.15,40.91,0,22.03,0,0
