stage,axial,blastomeres,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vasculature
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,13.14,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,18.88,0,0,0,0,0,0,0
 14-21,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,2,15,1,0,0,0,4,0,4,4,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0,0,0,1.64,0,0,36.12,0,0,0,0,0,0,0,7.39,0,0
 36-46,0,0,0.81,0,0,0,0,2.42,0,0,0,0,0,0,0,0,29.81,0,0,0,0,0,0,0,11.28,0,0
 48-58,0,0,0.57,2.87,0.57,0,0.57,4.59,0,0,0,0,0,1.15,0,0.57,16.07,0,0,0,0.57,0,0,0,5.16,0,0
 60-70,0,0,0.98,4.91,0,0,0,2.94,0,0,0,0,0,0.98,0,0,11.78,0.98,0.98,0,0.98,0,0.98,0,1.96,0,0
 72-82,0,0,0,1.96,0,0,0,2.94,0,0,0,0,0,1.96,0,0.98,4.91,0,0,0,0,0,0,0,2.94,0,0.98
 84-94,0,0,0,2.12,0,0,0,3.19,0,0,0,0,2.12,0,0,0,3.19,0,0,0,0,0,0,0,0,1.06,0
 96-106,0,0,0,3.28,1.09,0,0,1.09,0,0,0,0,0,3.28,1.09,0,3.28,0,0,0,0,0,0,0,0,1.09,0
108-118,0,0,0,1.53,0,0.77,0,2.3,0.77,0.77,0.77,0.77,0,2.3,0,0.77,2.3,1.53,0,0,0.77,0,0,0,0,0,0
120,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96
