stage,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,otic,periderm,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,0,2.46,0,0,0.82,1.64,0,0,0,0,0,0,0,0
 36-46,0.81,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0.81,0,0,0,0,0.81,0
 48-58,0.57,0,0,0.57,0,0,0,0,0,0,0,0,1.15,0,0,0,3.44,0,1.72,0,0.57,0,0,0,0
 60-70,0,0,0,0,0.98,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0.98,0,0,0,0
 72-82,0,0,0,2.94,0,0,1.96,0,0,0,0,0.98,1.96,0,0,0,1.96,0.98,0.98,0,0,0,0,0,0
 84-94,0,0,1.06,6.37,2.12,0,2.12,1.06,1.06,1.06,2.12,0,0,0,0,2.12,1.06,2.12,10.62,0,0,1.06,0,0,1.06
 96-106,2.19,1.09,1.09,3.28,0,1.09,4.37,0,0,0,0,1.09,3.28,1.09,0,1.09,3.28,0,4.37,0,0,0,0,3.28,0
108-118,0.77,0,0,0.77,1.53,0,4.6,0,0,0,0.77,0,3.06,0,0.77,0,0.77,0,6.13,0,0,0,0,0,0
120,7.84,0,0,7.84,7.84,0,7.84,7.84,0,1.96,0,0,5.88,1.96,1.96,0,9.8,0,9.8,0,0,0,1.96,1.96,0
