stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,183.89,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,12.26,6.13,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,15.77,2.63,0,0,0,5.26,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,57.83,21.03,0,0,241.84,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,409.11,0,0,0,34.62,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,6,1,2,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,1,1145,4,0,12,2,0,0,1,3,1,2,5,96,0,0,1,0,0
 24-34,0,0,0.82,2.46,3.28,9.85,0,0,0,2.46,0,0,0,0,0,0,0,0,4.1,0,0,2.46,1259.19,2.46,0,16.42,0,0,2.46,0,0,0.82,0.82,2.46,105.89,0,0,3.28,0,1.64
 36-46,0,0,0,3.22,0.81,9.67,0,0,0,5.64,0,0,0,0.81,0,0,0,0,8.06,0.81,0,4.03,1221.39,0,0,10.47,0,0,4.03,0,0,0.81,0,0,113.6,0,0,0.81,0,0.81
 48-58,0,0.57,0,6.31,0,44.18,0,0,0.57,21.23,0.57,0,0.57,0.57,0.57,0,0,0.57,9.18,0,0.57,2.3,1029.41,0,0,6.89,0,0,2.3,0,0,0,0.57,0,121.07,0,0.57,1.15,0,1.15
 60-70,0,0,0,3.93,0,28.46,0,0,0,18.65,0,0,0,0,0,0,0,0,6.87,0,0,0.98,801.9,2.94,0.98,5.89,0,0,1.96,0,0,0,0,0,83.43,0,0,2.94,0,0.98
 72-82,0,0,0,8.83,0.98,54.97,0,0.98,0.98,25.52,0,0,0.98,1.96,0,0,0,0,11.78,0,0,0.98,544.82,0.98,0.98,10.8,0,0.98,0.98,0,0,0,0,0,31.41,0,0,4.91,0.98,0
 84-94,0,0,0,11.68,0,55.23,0,1.06,1.06,22.3,0,1.06,1.06,1.06,0,2.12,1.06,1.06,15.93,0,0,0,326.05,1.06,0,7.43,0,0,1.06,0,0,0,0,0,25.49,1.06,1.06,3.19,0,0
 96-106,0,0,0,16.39,2.19,46.99,0,3.28,2.19,21.86,0,0,1.09,2.19,1.09,0,2.19,2.19,10.93,0,0,1.09,254.63,0,0,9.84,0,1.09,5.46,0,0,0,0,0,8.74,0,0,3.28,1.09,2.19
108-118,0,0,0,3.06,0.77,21.45,0,0,0.77,14.55,0,0,0,0,0,0,0,0,6.13,0,0,3.06,305.62,0,0,4.6,0,0,0.77,0,0,1.53,0,0,2.3,0,0,0,0.77,0
120,0,0,0,0,0,37.24,1.96,0,1.96,25.48,0,0,0,0,0,0,0,1.96,9.8,0,0,3.92,384.12,3.92,0,7.84,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0
