stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,2.63,0,2.63,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,2,1,0,0,0,0,0,0,7,0,0,0,0,2,0,0,0,7,0,1,0,0,0,0,1,0,3,1,2,0,0,2,0,1
 24-34,0,0,0,0,0,0,0,0,0,1.64,4.1,0,0,0,0,2.46,0,0,0.82,7.39,0,4.1,0,0,0,0,0,0,1.64,0,1.64,0,0,2.46,0,0
 36-46,0,0.81,0.81,3.22,0,0,0,4.03,0,1.61,4.83,0,0,0,0,2.42,0,0,0.81,28.2,0,2.42,0,0,0,0,0,0,0.81,0,3.22,0,0,3.22,0,0
 48-58,0,0,0,2.3,0.57,0,0,13.2,0.57,1.15,1.72,0,0.57,0.57,0,5.74,0,0,1.72,53.36,0,0.57,0,0,0,0,0,0,2.3,0,3.44,0,0,5.16,0,0
 60-70,0,0,0,15.7,0,0,0,13.74,0,1.96,0.98,0,0,0,0,8.83,0,2.94,2.94,110.91,0,0.98,0,1.96,0,0,0,2.94,0.98,0,0.98,0,0,3.93,0,0
 72-82,0,1.96,0,24.54,0,0,0,22.58,0,3.93,9.82,0,0,0,0,19.63,0,0.98,1.96,102.09,0,0.98,0,0.98,0,0,0,0,0.98,0,5.89,0,0,6.87,0.98,0
 84-94,0,1.06,2.12,7.43,1.06,1.06,1.06,8.5,0,1.06,10.62,0,0,1.06,1.06,14.87,0,0,1.06,62.66,0,3.19,0,1.06,2.12,0,0,1.06,2.12,0,2.12,0,0,7.43,6.37,0
 96-106,0,1.09,1.09,7.65,0,0,0,21.86,0,4.37,5.46,2.19,1.09,0,0,7.65,0,2.19,2.19,54.64,0,3.28,0,1.09,0,0,0,0,2.19,0,1.09,0,0,7.65,5.46,0
108-118,0,4.6,0,14.55,0,0,0,9.96,0,3.83,3.83,0,3.83,0.77,0,6.13,0.77,0,0.77,52.85,0.77,0.77,0,1.53,0,0,0,0,3.06,0,1.53,0,5.36,9.19,3.06,0
120,0,0,0,7.84,0,0,0,3.92,0,0,9.8,0,0,0,0,3.92,0,3.92,0,78.39,0,3.92,0,0,5.88,0,0,0,1.96,0,1.96,1.96,0,5.88,1.96,0
