stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,3,1,4,0,0,0,0,0,19,0,0,1,0,0,0,0,3,0,1,13,9,16,25,12,0,1,1,2,104,1,0,55,0,0,1,0,0
 24-34,0,0,6.57,0,1.64,0.82,2.46,0,0,0,46.79,0,0,0,0,1.64,1.64,0.82,0.82,0,1.64,50.07,0.82,115.74,45.15,0,0,0.82,0,0,120.67,0,1.64,77.98,0,0,1.64,0,0
 36-46,0,0,0.81,0,1.61,0,8.06,0,0,0,19.34,0.81,0,0,0,0.81,0,0,0,0,0,27.39,0,96.68,15.31,0,0,0.81,2.42,0,59.62,0,0,48.34,0,0,0,0,0
 48-58,0,0,0.57,0,2.3,0,88.37,0,0,0,22.95,0.57,0,0,0,4.59,0,0,2.87,0,0.57,48.77,0,86.64,17.79,0,0,1.72,0,0,25.25,0,0,56.23,0,0,0,0,0
 60-70,0,0,5.89,0,5.89,0,134.47,0,0.98,0.98,31.41,0.98,0,0,0,9.82,0,0,3.93,0,0,48.09,0,80.48,24.54,0,0,0,0,0,18.65,0,0,31.41,1.96,0,0,0.98,0
 72-82,0,0,28.47,0,3.93,0.98,92.28,0.98,0.98,0,45.16,7.85,0,0,0.98,22.58,0.98,0,14.72,0.98,0,44.17,0,133.51,50.06,0,0,0,0,0,13.74,0,0,24.54,12.76,0.98,0.98,0.98,0.98
 84-94,0,0,28.68,2.12,12.74,2.12,81.78,0,1.06,1.06,19.12,11.68,0,0,1.06,24.43,0,0,10.62,1.06,0,19.12,0,155.06,50.98,0,0,1.06,0,0,36.11,0,0,23.36,16.99,0,0,0,0
 96-106,0,0,24.04,6.56,7.65,2.19,64.48,0,3.28,0,22.95,20.76,2.19,1.09,0,49.18,1.09,0,7.65,1.09,1.09,27.32,0,238.24,74.31,0,1.09,3.28,0,0,33.88,0,0,28.41,14.21,0,1.09,0,1.09
108-118,0,0,19.15,4.6,6.13,1.53,22.98,0,1.53,0,13.79,9.19,0,0,0,29.87,1.53,0,9.19,0,0,29.11,0.77,158.55,44.43,0,0,0,0,0,20.68,0,0,15.32,9.19,1.53,0.77,0.77,0
120,0,0,11.76,1.96,5.88,0,15.68,0,0,0,7.84,7.84,1.96,3.92,0,23.52,1.96,0,13.72,1.96,0,19.6,0,117.59,29.4,0,0,0,1.96,0,15.68,0,0,9.8,3.92,1.96,0,0,0
