stage,blastomeres,epidermis,erythrocytes,eye,glial,immune,ionocyte,lateral_line,mesenchyme,mucous,muscle,neural,otic,periderm,pronephros,vascular_smooth_muscle,vasculature
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0
  5-6,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0
 14-21,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,4.93,0,0,0,0,0,0.82,0,0,0,0,0
 36-46,0,0,0,0,0,5.64,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,2.87,0,0,2.87,0,0,1.15,0,0,0,0,0
 60-70,0,0,0,0,0,0.98,0,0,2.94,0,0,0.98,0.98,0,0,0,0.98
 72-82,0,0,0.98,7.85,0.98,0,0,0,1.96,0,0.98,0.98,0.98,0,0,0,0
 84-94,0,0,1.06,6.37,0,0,0,1.06,2.12,0,0,0,0,0,0,0,1.06
 96-106,0,4.37,1.09,5.46,0,8.74,0,0,3.28,0,0,2.19,4.37,0,0,0,0
108-118,0,0,0.77,0,0,13.02,0.77,0,3.06,0.77,0,1.53,0.77,1.53,0.77,2.3,1.53
120,0,0,1.96,5.88,0,37.24,1.96,0,1.96,0,0,1.96,1.96,1.96,0,1.96,1.96
