stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,5,1,1,0,0,0,0,0,0,0,2,0,0,0,25,0,0,0,0,5,0,0,13,0,0,0
 24-34,0,0,0.82,0,6.57,0,0,0,0,0,0,0,2.46,0,0,2.46,34.48,0,0,0,0,0,0.82,1.64,1.64,0,0,0.82
 36-46,0,0,0,0,7.25,0,0.81,0.81,0,0,0,0.81,0.81,0,0,2.42,22.56,1.61,0.81,0,0.81,0,0,0,7.25,0,0.81,0
 48-58,0,0,0,0,4.59,0,0,2.3,0,0,0,0,4.02,0,0,1.15,12.05,0,0,0,0.57,0,0,0,4.02,0,0.57,0
 60-70,0,0,1.96,0,4.91,0,0,1.96,0,0,0.98,0,4.91,0,0.98,0.98,9.82,0,0,0,1.96,0,0,0,0.98,0,0,0
 72-82,0,0,0,0,2.94,0,0,1.96,0,0,0.98,0,5.89,0,0,0,8.83,0,0,0,0,0,0,0,0.98,0,0.98,0
 84-94,0,0,2.12,0,2.12,0,0,2.12,0,1.06,0,0,2.12,1.06,0,0,2.12,0,0,0,2.12,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,1.09,0,0,0,0,0,0,3.28,0,0,0,4.37,0,0,0,0,0,0,0,1.09,0,1.09,0
108-118,0,0,1.53,0,3.06,0,0,3.06,0.77,0,0,0,1.53,0,0,0,6.13,0,0,0,1.53,0,0,0,0.77,0.77,0,0
120,0,0,1.96,0,0,0,0,0,0,0,0,0,5.88,0,0,0,3.92,0,0,0,0,0,0,0,0,0,0,0
