stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,0,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,28.92,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,6,2,0,0,0,0,0,0,0,1,0,0,41,0,0,0,0,1,6,0,0,13,1,0,60,0,0,3,1,125,3,4,3,0,0,0,0,0
 24-34,0,0,0,2.46,9.03,0,0,7.39,0,0,0,0,4.93,0.82,1.64,0,22.98,0,0,3.28,0.82,9.03,2.46,0,1.64,95.22,0.82,0,97.68,0,0,7.39,0,132.16,0,1.64,14.78,0,0,3.28,0,0
 36-46,0,0,0.81,0,5.64,0,0,11.28,0,0,0.81,0.81,9.67,0,0,0.81,7.25,0,0,4.03,0.81,9.67,0.81,0,4.83,53.98,0,1.61,62.04,0,0,3.22,0,101.51,0,0.81,9.67,0,0,0.81,0,0.81
 48-58,0,0,0,0,6.89,0.57,0,18.36,0,2.3,0,4.02,20.66,0,0,0.57,11.48,0,0,5.74,1.15,7.46,0.57,0,0,47.05,0,0,82.05,0,0,2.87,0,56.23,0,0,8.61,0,0,0,0,1.72
 60-70,0,0,0,0,8.83,0,0,23.56,0,0.98,2.94,5.89,67.73,0,0.98,0,16.69,0.98,0.98,2.94,0,15.7,0.98,1.96,0.98,42.21,0,0.98,73.61,0,0,3.93,0,65.76,0,0,4.91,0,0.98,0.98,0.98,0.98
 72-82,0,0,2.94,0.98,9.82,4.91,0,48.1,0.98,1.96,0.98,9.82,210.08,0,0,2.94,34.36,0.98,0,3.93,0,27.49,2.94,2.94,2.94,124.67,0.98,0.98,129.58,0,0,4.91,0,96.2,0,0,8.83,0,1.96,3.93,4.91,1.96
 84-94,0,0,2.12,5.31,25.49,5.31,0,31.86,0,3.19,2.12,10.62,396.14,1.06,0,1.06,55.23,1.06,0,10.62,0,19.12,1.06,2.12,2.12,53.1,0,4.25,158.24,0,0,14.87,0,196.48,0,0,4.25,4.25,1.06,3.19,1.06,0
 96-106,0,0,9.84,3.28,50.27,9.84,2.19,61.2,1.09,5.46,2.19,21.86,543.14,0,1.09,5.46,42.62,2.19,2.19,13.11,0,53.55,6.56,2.19,2.19,174.86,1.09,9.84,189.06,0,2.19,36.06,0,201.08,0,0,4.37,5.46,1.09,13.11,3.28,5.46
108-118,0,0,2.3,8.43,42.89,4.6,3.83,42.89,1.53,5.36,3.06,17.62,589.79,0,1.53,2.3,33.7,1.53,0.77,12.26,1.53,33.7,2.3,2.3,5.36,135.58,1.53,2.3,170.04,0,0.77,12.26,0,188.43,0,0,3.06,8.43,0,8.43,3.06,1.53
120,0,0,0,3.92,54.87,3.92,0,33.32,0,1.96,0,9.8,460.55,0,0,9.8,17.64,1.96,0,17.64,0,19.6,0,3.92,9.8,148.94,0,1.96,139.14,0,0,13.72,0,125.43,0,0,0,1.96,0,1.96,0,3.92
