stage,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,gut,hatching.gland,heart,immune,ionocyte,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,11,0,0,0,0,0,0,66,2,5,0,0,0
 24-34,0,0.82,0,0.82,4.93,0.82,0,0,0,0,0,0,0,0,0,0.82,38.58,0.82,0,0,0,0,0,40.22,2.46,5.75,0,0,0
 36-46,0,0.81,0,3.22,12.89,3.22,0,0.81,0,0,0,0,0,1.61,0,4.83,49.15,0,0.81,0,0,2.42,0,32.23,0,12.89,0.81,0,0
 48-58,0,0,0,9.75,7.46,2.3,0,0,0,0,0,0,0,4.02,0.57,2.87,36.15,0,0.57,0,0.57,0,0,11.48,0,7.46,0.57,0,0
 60-70,0,0,0,14.72,16.69,0.98,0,0,0,0,0,0,0,1.96,0,1.96,47.11,0,0.98,0,0,0,0,18.65,0,6.87,0,0,0
 72-82,0,1.96,0,9.82,8.83,0.98,4.91,0,0,0,0,0,0,8.83,0,1.96,26.5,0,0,0,0,0,0,9.82,0,2.94,0.98,0,0
 84-94,0,1.06,0,8.5,9.56,0,4.25,0,0,2.12,0,1.06,1.06,1.06,0,3.19,11.68,0,0,0,0,0,0,13.81,0,1.06,0,0,0
 96-106,1.09,1.09,1.09,6.56,10.93,3.28,5.46,0,0,2.19,1.09,0,0,2.19,0,1.09,15.3,1.09,0,0,0,0,0,19.67,0,0,0,1.09,1.09
108-118,0,0.77,0,3.06,13.02,1.53,6.13,0,0.77,0,1.53,0,0,1.53,0,1.53,13.02,0,1.53,0,0,2.3,0,20.68,0,0,0,0,0
120,0,0,0,5.88,11.76,1.96,9.8,0,0,0,0,0,0,0,0,3.92,23.52,0,0,0,0,0,1.96,5.88,0,0,0,0,0
