stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,6,0,0,0,0,0,0,0,5,0,0,0,0
 24-34,0,0.82,0,1.64,0,0,0,0.82,0,0,0.82,0,1.64,0,0,0.82,29.55,3.28,3.28,0,0,1.64,0,0.82,4.1,0,0,0,0
 36-46,0,0.81,0,3.22,0,0,0,0,0,0,0,0.81,1.61,0,0,0.81,62.04,3.22,0.81,0,0,0,0.81,0,4.03,0,0,0,0
 48-58,0,0.57,0,8.03,0,0,1.72,0,0,0,0,0,0,0,0,0,52.22,0,0.57,0,0,1.15,0,0,5.74,0,0,0,0.57
 60-70,0,1.96,0,28.46,0,0,5.89,0,0,0,0.98,0,2.94,0,0.98,0,81.47,0,2.94,0,0,0,0,0,3.93,0.98,0.98,0,0
 72-82,0,1.96,1.96,48.1,0,0.98,5.89,1.96,0,0,0,0,3.93,0,0,0,81.48,0,7.85,0,0,0.98,0,0,5.89,0.98,0,0,0.98
 84-94,0,1.06,0,23.36,0,1.06,3.19,1.06,0,0,0,0,5.31,0,0,0,39.3,1.06,3.19,0,0,1.06,0,0,5.31,7.43,1.06,0,0
 96-106,0,1.09,0,16.39,0,0,4.37,2.19,0,0,1.09,0,3.28,1.09,0,0,48.09,0,3.28,0,0,0,0,0,4.37,7.65,0,1.09,0
108-118,0,1.53,0.77,15.32,0.77,0,8.43,0,0.77,0.77,0.77,0.77,4.6,0,0,0,38.3,0,3.83,0.77,0,2.3,0.77,0,0.77,21.45,0,0.77,0
120,0,1.96,0,19.6,0,0,7.84,0,0,0,0,0,3.92,0,0,0,58.79,0,3.92,0,0,0,0,0,3.92,5.88,0,0,0
