stage,blastomeres,endoderm,erythrocytes,eye,glial,gut,heart,immune,iridophores,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.26,0,13.14,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,6.29,0,3.15,0,0,0,0
 14-21,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,0,0.82,0,0,0.82,0.82,0,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,0.81,0,0,0.81,0,0,0
 48-58,0,0,0,0,0,0,0.57,0,0,0,0.57,1.72,0,0,0,0,0,0
 60-70,0,0,0,3.93,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,0.98,0,0,0,0,0.98,0.98,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,1.09,0,0,1.09
108-118,0,0,0,0,0,0,0,0.77,0.77,0.77,0,2.3,0,0,0.77,0,0.77,0
120,0,0,0,0,0,9.8,0,0,0,1.96,0,1.96,0,0,0,0,0,0
