stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,gut,hatching.gland,iridophores,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,140.98,0,0,0,0,0,0,0,0,0,0,12.26,0,0,12.26,18.39,0,0,0,0,0
  7-9,2.63,13.14,10.51,0,0,21.03,0,7.89,0,0,0,0,362.76,7.89,0,184.01,5.26,0,0,0,0,0
 10-12,0,15.73,3.15,0,6.29,0,0,0,0,0,0,0,512.96,6.29,0,283.23,3.15,9.44,0,6.29,0,0
 14-21,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,3,0,2,1,0,0
 24-34,0,0,0,0.82,0,0,0,0,0.82,0,0,1.64,6.57,0,0,0,4.1,0,0,0,0,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,0,0.81,0,0,0,0.81,0,0,0,0,0
 48-58,0,0,0,0,0,1.72,0,0,0,0.57,1.72,0.57,3.44,0,0.57,0,1.72,0,0,0,0,0.57
 60-70,0,0,0,0,0,0.98,0,0,0,0,1.96,0,0.98,0,0,0,1.96,0,0,0,0.98,0
 72-82,0,0,0,0,0,0.98,0,0,0,0,0,0,4.91,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,1.06,0,0,2.12,0,0,0,1.06,0,0,0,0,0
 96-106,0,0,0,0,0,2.19,0,0,0,0,0,0,3.28,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0,1.53,0,0,0,0,0,0,1.53,0,0,0,1.53,0,0,0,0.77,0
120,0,0,0,0,0,0,1.96,0,0,0,3.92,0,0,0,0,0,0,0,0,0,0,0
