stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,5,10,1,0,0,0,4,0,0,1,0,0,0,0,3,0,0,1,0,0,0,3,2,12,0,3,3,1,0
 24-34,0,0,0,0,0,0,1.64,0,0.82,0,0,0,2.46,0,0,0,0,0,0.82,0.82,3.28,0,0,0,3.28,0,0,0,0.82,0,4.1,0
 36-46,0,0,0,0,0.81,0,0,0.81,0,0,0.81,0,0,0,0,0,0,0,0.81,0.81,3.22,0,0,0,22.56,0,0,0,0,0.81,1.61,0
 48-58,0,0,0,0,1.15,1.72,0,1.15,0.57,0,0,0,0.57,0,0,0,0,0,0,0,2.87,0,0,0,27.54,0,0,0,0,1.15,1.15,0
 60-70,0,0,0,0,1.96,2.94,0.98,5.89,1.96,0.98,0,0,0.98,0,0,0,0,0,0,0,4.91,0,0,0,42.21,0,0,0,0,0,2.94,0
 72-82,0,0,0,0.98,14.72,2.94,0.98,11.78,0.98,2.94,0,2.94,0,0,0,0,0.98,0.98,0,0,4.91,0,0,0,41.23,0,0,0,0,0.98,1.96,0
 84-94,0,0,0,6.37,26.55,0,0,7.43,0,26.55,0,6.37,3.19,0,0,1.06,0,2.12,2.12,2.12,0,0,1.06,0,275.07,0,0,3.19,0,0,2.12,1.06
 96-106,0,0,0,18.58,18.58,6.56,2.19,9.84,1.09,34.97,0,10.93,4.37,0,0,1.09,0,5.46,0,0,9.84,0,0,0,116.93,0,0,2.19,0,0,1.09,0
108-118,0,0,0,9.96,19.92,1.53,3.83,6.13,0.77,45.19,0,19.92,5.36,0.77,0,0,0,0.77,2.3,0,13.02,0,1.53,0,121.79,0,0,4.6,0,0,3.06,0
120,0,1.96,0,13.72,21.56,3.92,3.92,9.8,0,41.16,0,25.48,5.88,0,1.96,1.96,0,0,1.96,0,3.92,0,1.96,0,131.31,0,0,5.88,0,0,5.88,0
