stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,somites,spinal_cord,taste,vasculature
  3-4,158.14,3386.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.14,0,0,0,0,0,0
  5-6,61.3,753.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.78,0,0,0,0,12.26,0,0,0,0,0,0
  7-9,0,2.63,15.77,0,0,0,10.51,0,0,0,2.63,0,0,0,0,0,0,70.98,0,0,0,21.03,0,2.63,0,0,0,0,0
 10-12,0,0,147.91,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,62.94,0,0,0,12.59,0,0,0,0,0,0,0
 14-21,0,0,2,154,1,0,0,0,0,0,0,0,0,0,7,0,1,6,0,0,0,1,0,0,0,3,4,0,0
 24-34,0,0,0.82,109.99,0,0,4.1,1.64,0,0,0,0.82,0.82,0,0.82,0,2.46,9.03,0,0.82,0.82,0,0.82,0,0,0,0,0,0
 36-46,0,0,0,77.34,0,0,0.81,0,0,0,0,0,0,0,2.42,1.61,0.81,15.31,0,1.61,0,0,0.81,0,0,0,0.81,0,0
 48-58,0,0,0,86.64,0,0,4.02,1.15,2.3,0,0,0.57,0,0,2.3,0,0.57,14.35,0,0,1.15,0,0,0,0,0,1.15,0,0.57
 60-70,0,0,0,66.74,0.98,0,2.94,0,0.98,0,0,0,0,0,4.91,0.98,0,6.87,0,0,0,0,0.98,0,0,0,0,0,0.98
 72-82,0,0,0,67.73,0,0,3.93,0,0.98,0.98,0,1.96,0,0,3.93,0,0,6.87,0,1.96,0,0,0.98,0,0,0,0.98,0.98,0
 84-94,0,0,0,100.89,0,0,4.25,7.43,2.12,0,0,2.12,0,1.06,1.06,0,0,6.37,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,88.52,2.19,0,2.19,3.28,1.09,0,0,8.74,0,0,3.28,0,0,4.37,1.09,1.09,0,1.09,1.09,0,0,0,0,0,0
108-118,0,0,0,83.49,0,0.77,2.3,4.6,3.06,0.77,0,5.36,0.77,0.77,3.06,0,0.77,9.96,0,2.3,0,0,0,0,0.77,0,0,0,0
120,0,0,0,72.51,0,0,0,7.84,0,1.96,0,11.76,3.92,0,1.96,0,0,11.76,0,0,0,0,0,0,0,0,0,0,0
