stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,1.64,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0.82,0,0.82,122.31,0,0,0.82,0,0,0,0,0,13.95,0,0,0,0,0
 36-46,0,0,0.81,0,0,4.83,0,0.81,0,0,0,0,0,0,0,0,0,0,0.81,0,0,376.25,0,0,0,0,0,0,0,0,35.45,0,0,0,0,0
 48-58,0,0,0.57,0,0,53.94,0,0,0.57,4.02,0,0,0.57,0,0,0,0,0,4.59,0,0.57,648.4,0,0.57,0,0,0,0.57,0,0,47.05,0,0,0.57,0,0.57
 60-70,0,0,4.91,0.98,0,483.89,0.98,0,0,19.63,0,0,0,0,0,0,0,0,11.78,0.98,0.98,1622.46,0.98,0,0,0,0,1.96,0,0,118.76,0,0,0,0,0.98
 72-82,0,0.98,20.61,2.94,0,1186.83,0.98,1.96,0,70.68,0.98,0,0.98,0.98,1.96,0.98,0,0,46.14,2.94,4.91,2439.43,0,1.96,0,0,0,3.93,0,0,133.51,0.98,0,2.94,0.98,2.94
 84-94,0,1.06,36.11,4.25,0,767.85,0,2.12,2.12,63.72,2.12,0,3.19,2.12,3.19,0,2.12,1.06,31.86,2.12,4.25,1358.35,1.06,0,2.12,0,0,10.62,1.06,0,79.65,1.06,1.06,4.25,1.06,1.06
 96-106,0,1.09,30.6,9.84,1.09,902.69,2.19,4.37,2.19,63.39,4.37,1.09,3.28,1.09,4.37,1.09,2.19,1.09,44.81,3.28,4.37,1339.83,0,0,6.56,0,2.19,15.3,0,1.09,38.25,0,3.28,10.93,4.37,4.37
108-118,0,0,18.38,5.36,0,701.62,0,0.77,1.53,53.62,3.83,0.77,3.83,0.77,1.53,0.77,2.3,1.53,26.81,1.53,1.53,1488.27,1.53,4.6,3.06,0,0,11.49,0,0,32.94,0,1.53,3.06,3.06,0.77
120,0,0,25.48,3.92,1.96,535.02,3.92,1.96,0,43.12,5.88,0,7.84,0,0,0,0,0,39.2,1.96,11.76,1750.09,0,7.84,1.96,0,0,13.72,0,0,47.03,1.96,0,3.92,0,1.96
