stage,axial,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,43,2,1,0,0,0,0,0,0,37,0,0,0,0,0
 24-34,0,0.82,0,0,0,9.85,0,0,0.82,0.82,0,0,0.82,0,0,0,0.82,2.46,0,0,1.64,380.88,0.82,23.8,0,0,0.82,0,0,0.82,162.53,0,0,0.82,0,0
 36-46,0,0,2.42,0,0,19.34,0,0,0,2.42,0,0.81,0,0,0,0,0,6.45,0.81,0,0,711.41,0,23.36,0,0,1.61,0,0,0,219.14,0,0,0.81,0,0.81
 48-58,0.57,0,1.15,0,0,117.06,0,1.15,1.15,10.33,0,0,0.57,0,0,0.57,0.57,9.75,0.57,0,0,790.7,0,23.53,1.72,0,1.72,0,0.57,0,197.39,0,0,0.57,0,1.15
 60-70,0,0,2.94,0.98,0,499.59,0,3.93,0.98,11.78,0,0,0.98,0.98,0,0.98,0,14.72,0,0,0,1359.41,0,26.5,0.98,0,3.93,0,1.96,0,239.49,0.98,0,0.98,0,2.94
 72-82,0,3.93,14.72,2.94,0,1122.04,0.98,1.96,0.98,53.99,1.96,0,0.98,0,1.96,1.96,0.98,45.16,0.98,0,6.87,1649.19,0.98,44.17,0.98,0,7.85,0,0.98,0,180.63,0.98,1.96,0.98,0.98,4.91
 84-94,0,3.19,22.3,2.12,0,803.96,0,0,1.06,54.16,0,0,3.19,1.06,0,1.06,1.06,40.36,1.06,0,2.12,874.06,1.06,36.11,1.06,0,7.43,0,1.06,0,88.15,1.06,2.12,2.12,1.06,0
 96-106,0,2.19,15.3,7.65,0,874.28,0,0,3.28,62.29,2.19,1.09,5.46,2.19,1.09,1.09,2.19,48.09,0,1.09,3.28,798.87,1.09,72.13,4.37,1.09,12.02,0,0,0,51.36,8.74,0,4.37,2.19,2.19
108-118,0,2.3,11.49,5.36,0,657.2,0.77,1.53,0.77,45.19,0.77,0.77,0.77,0.77,0,0,2.3,26.04,0,2.3,3.06,824.18,0.77,46.72,0,0.77,4.6,2.3,0,0,31.4,6.13,0.77,1.53,1.53,0.77
120,0,0,27.44,9.8,1.96,715.32,1.96,1.96,0,62.71,3.92,1.96,0,0,0,0,1.96,56.83,0,0,9.8,1232.71,1.96,50.95,1.96,3.92,7.84,1.96,0,0,62.71,0,1.96,1.96,3.92,0
