stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,33,7,8,0,0,53,1,1,0,0,0,0,0,1,15,0,0,5,149,8,4,16,4,0,2,2,79,3,193,0,1,0,0
 24-34,0.82,0,3.28,0.82,9.03,0,0,39.4,0,0,0,0,0,0.82,0,0.82,9.85,0,0,5.75,103.43,0.82,2.46,4.93,0,0,0.82,0,15.6,0.82,91.12,0,1.64,0,0
 36-46,0,0,2.42,0.81,11.28,0.81,0,25.78,0,0.81,0,0,0,0.81,0.81,0,7.25,0,0.81,3.22,99.1,0,4.83,7.25,0,0,0.81,0,4.83,0,73.32,0,0.81,0,0
 48-58,0,0,1.72,0.57,22.38,0,0,32.71,0,0.57,0.57,0,0.57,0,0,0,11.48,0.57,2.3,3.44,55.66,0,3.44,1.15,0,0,0.57,0,2.3,0,48.2,0,0.57,0,1.15
 60-70,0,0,0.98,0,24.54,0,2.94,24.54,0.98,0.98,0,0,0,0,0,0,15.7,0,0,1.96,41.22,0,1.96,2.94,0,0,0,0,0,0,22.58,0,0,0,0
 72-82,1.96,0.98,1.96,1.96,21.6,0,0.98,53.01,0,0.98,0,0,0.98,0,0,0,35.34,0,2.94,1.96,53.99,0,7.85,9.82,0,0,0,0,1.96,0,24.54,1.96,2.94,3.93,1.96
 84-94,1.06,0,5.31,1.06,7.43,0,1.06,25.49,1.06,0,1.06,1.06,0,1.06,0,0,14.87,0,0,0,22.3,0,2.12,3.19,0,0,0,0,2.12,0,9.56,2.12,1.06,0,2.12
 96-106,3.28,1.09,4.37,0,10.93,0,0,20.76,0,2.19,0,1.09,1.09,4.37,0,0,21.86,0,2.19,1.09,31.69,0,6.56,6.56,0,1.09,0,0,5.46,0,13.11,1.09,4.37,0,0
108-118,0.77,0.77,5.36,2.3,10.72,0.77,1.53,29.11,0,0,0,0.77,0,1.53,0,0,17.62,0,0.77,0.77,26.81,0,5.36,3.83,0,0,0.77,0,4.6,0,15.32,0,3.06,0.77,0
120,0,0,1.96,0,1.96,0,0,9.8,3.92,0,5.88,0,0,0,0,0,13.72,0,1.96,1.96,41.16,0,3.92,0,0,0,0,0,7.84,0,9.8,0,0,1.96,0
