stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.43,2.63,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.23,6.29,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,0,23,13,0,2,0,0,0,3,1,1,0,0,0,1,0,0,0,5,0,7,78,1,2,3,1,0,0,11,1,3,8,41,0,0,3,0,2
 24-34,0,0,0,0,9.03,0,0,6.57,0,0,0,2.46,0,0,0,0,0,0,0.82,0,1.64,5.75,0,3.28,64.85,0,1.64,0,0,0,0.82,0.82,1.64,2.46,0.82,31.19,0,0,6.57,0,1.64
 36-46,0,0,0,0,2.42,0,0,8.86,1.61,1.61,1.61,4.83,0,0,0.81,0,0.81,0.81,0.81,0,0.81,14.5,0.81,3.22,84.6,0,0.81,0.81,0,0,2.42,0,1.61,0,0,32.23,0,0,3.22,0,2.42
 48-58,0,0,0,0,3.44,0,0,13.2,0.57,2.3,0.57,7.46,0.57,0,0,0,0,0.57,0,0,2.3,9.75,0,1.72,54.51,1.15,0.57,0,0,0,0.57,0,0.57,0.57,0,10.33,0,0,2.3,0,3.44
 60-70,0,0,0,0,4.91,0,0,31.41,0,1.96,0.98,18.65,0.98,0,1.96,0,0,2.94,0,0,0.98,16.69,3.93,4.91,86.37,0.98,1.96,0.98,0,0,0.98,0,0,0,0,18.65,0,0.98,3.93,0,2.94
 72-82,0,0,0,0,4.91,1.96,0,56.94,0.98,0.98,1.96,39.27,0,0,1.96,1.96,0,3.93,1.96,0,0,53.99,2.94,4.91,118.78,1.96,1.96,2.94,0,0,0.98,0,0,0.98,0,13.74,0,1.96,3.93,2.94,2.94
 84-94,0,0,4.25,0,9.56,6.37,0,47.79,0,0,3.19,36.11,0,0,1.06,6.37,2.12,5.31,2.12,0,2.12,41.42,3.19,3.19,57.35,0,4.25,2.12,0,1.06,5.31,0,0,1.06,0,4.25,0,2.12,5.31,1.06,1.06
 96-106,0,0,0,0,16.39,3.28,0,36.06,0,4.37,3.28,39.34,1.09,0,0,7.65,3.28,4.37,2.19,0,2.19,29.51,3.28,2.19,39.34,0,4.37,9.84,0,2.19,4.37,0,0,0,0,5.46,0,0,5.46,2.19,3.28
108-118,0,0,0.77,0,11.49,3.83,0.77,33.7,0.77,9.19,2.3,34.47,0.77,0,0,6.89,0.77,3.06,0.77,0.77,3.06,35.23,0,3.83,81.96,0.77,3.06,5.36,0,1.53,1.53,0,2.3,0,0,0.77,0.77,1.53,3.83,0.77,6.13
120,0,0,0,0,13.72,0,0,21.56,0,9.8,0,33.32,0,0,1.96,13.72,0,0,1.96,1.96,3.92,27.44,0,1.96,96.03,3.92,5.88,3.92,0,3.92,1.96,0,0,0,0,1.96,0,5.88,1.96,0,1.96
