stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,5,40,9,0,25,0,0,0,8,2,1,0,2,0,0,0,0,24,0,0,20,321,12,2,5,8,0,11,10,1,0,18,105,0,0,2,0,0
 24-34,0,1.64,21.34,4.1,0,105.07,0,1.64,0,17.24,0.82,4.1,1.64,2.46,0.82,1.64,1.64,0,69.77,0.82,0,29.55,770.78,4.93,7.39,6.57,0,0,23.8,0,2.46,0,6.57,162.53,0,0,15.6,0,2.46
 36-46,0.81,0,11.28,1.61,0,240.9,0.81,0.81,0.81,20.14,0.81,2.42,1.61,0.81,0,0,0.81,0,53.17,0,0,20.14,595.39,3.22,4.83,2.42,0,0.81,16.92,0,0,0,0,148.24,0,0,7.25,0,2.42
 48-58,0,0.57,11.48,0.57,0,324.2,0,0.57,1.72,28.12,0,1.15,1.15,0.57,1.15,1.72,0.57,0,76.89,0.57,1.72,14.92,299.53,3.44,0.57,4.02,0,0.57,8.61,0,0,0.57,0,56.81,0,0,4.59,0,0.57
 60-70,0.98,0,12.76,0,0,250.29,0,3.93,2.94,36.32,0.98,0,2.94,0.98,0.98,2.94,0,0,55.95,0.98,2.94,11.78,177.66,2.94,0.98,2.94,0,0.98,13.74,0,1.96,0,0,19.63,0,0.98,5.89,0,0.98
 72-82,0,0,6.87,9.82,0,107,0,0,3.93,59.88,1.96,0.98,5.89,3.93,0,3.93,1.96,1.96,79.51,2.94,1.96,14.72,119.76,1.96,0.98,4.91,0,0,7.85,0,1.96,0,0,4.91,6.87,0,12.76,0,0
 84-94,0,0,11.68,6.37,1.06,76.47,0,2.12,2.12,24.43,7.43,2.12,3.19,0,1.06,2.12,0,3.19,57.35,1.06,8.5,8.5,81.78,2.12,2.12,4.25,0,0,20.18,0,3.19,0,0,7.43,9.56,1.06,15.93,0,3.19
 96-106,0,0,9.84,7.65,1.09,56.83,0,0,1.09,30.6,3.28,1.09,13.11,0,3.28,0,2.19,0,38.25,2.19,4.37,1.09,81.96,0,1.09,4.37,0,0,21.86,0,2.19,0,0,2.19,3.28,0,6.56,0,1.09
108-118,0.77,0.77,13.79,11.49,0,52.09,0,3.06,0,21.45,3.83,0,9.96,4.6,3.83,2.3,3.06,1.53,29.11,0,0,9.96,96.51,2.3,4.6,5.36,0,0,19.15,0,1.53,0.77,0,0.77,6.13,0,9.19,0,2.3
120,0,0,11.76,19.6,0,70.55,0,3.92,1.96,31.36,7.84,0,23.52,0,1.96,1.96,0,3.92,33.32,0,0,1.96,80.35,1.96,1.96,5.88,0,0,19.6,0,1.96,0,0,0,0,0,13.72,1.96,0
