stage,axial,blastomeres,eye,glial,hatching_gland,ionocyte,lateral_line,mesenchyme,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,spinal_cord
  3-4,39.53,579.83,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0
  5-6,18.39,269.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,2.63,0,0,0,15.77,0,0,5.26,0,5.26,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,0,15.73,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,1,1
 24-34,0,0,0,0,0,0.82,0,0.82,4.1,0.82,1.64,0,0,0,0,0,0.82
 36-46,0,0,0.81,0,0,0,0.81,0,12.89,1.61,0.81,0,0,0,0,0,1.61
 48-58,0,0,0,0.57,0,0,0,0,12.62,0,1.72,0,0,0,0,0,0
 60-70,0,0,2.94,0,0,0,0,1.96,24.54,0,1.96,0,0,0,0,0,0
 72-82,0,0,1.96,0.98,0,0,3.93,0.98,15.71,0,8.83,0,0,0,0,0,0.98
 84-94,0,0,3.19,0,0,0,1.06,0,4.25,0,21.24,0,0,0,0,0,0
 96-106,0,0,3.28,2.19,0,0,6.56,0,13.11,0,12.02,0,1.09,0,0,0,0
108-118,0,0,1.53,0.77,0,0,1.53,0,9.19,0,13.79,0,0.77,0,0,0,0
120,0,0,0,0,0,1.96,3.92,0,13.72,0,7.84,0,0,0,0,0,0
