stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,303.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0
  5-6,6.13,165.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.32,2.63,0,0,10.51,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,3.15,0,0,12.59,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,5,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4,19,1,0,0,0,5,4,2,4,11,0,0,0,0
 24-34,0,0,0,8.21,0,0,4.93,0,1.64,0,0.82,0,0,0.82,0,2.46,0,0,0,0,3.28,0,0,0.82,52.53,0,0.82,0,0,5.75,0,0.82,0,26.27,0,0,0,0
 36-46,0,0,0,2.42,0,0,0.81,0,0.81,0,0,0,0.81,0,0,0.81,0,0,0,0,0.81,0,0,0,87.82,0.81,2.42,0.81,0,6.45,0,0,0,30.62,0,0,0,0
 48-58,0,0,0,0.57,0,0,17.79,0,1.15,0.57,3.44,0,0,0.57,0,0.57,0,0,0,0.57,1.15,0.57,0,1.15,153.78,0,0,1.72,0,3.44,0,0,0,33.85,0,0.57,0,0.57
 60-70,0,0,0,1.96,0,0,108.95,0.98,2.94,0,4.91,0,0.98,0,0,0,0.98,0,0,0,7.85,0.98,0,0.98,341.57,0,0,0.98,0,1.96,0,0,0,42.21,0,0,0,0
 72-82,0,0,0,3.93,1.96,0,313.15,0,0.98,0.98,16.69,0.98,0,0,0.98,0,0,0.98,0,0,27.49,0,0,1.96,450.58,0.98,0.98,10.8,0,3.93,0,0,0,43.19,0.98,1.96,0,2.94
 84-94,0,0,0,11.68,2.12,0,244.27,0,3.19,1.06,9.56,0,0,0,0,1.06,2.12,0,0,0,13.81,0,1.06,1.06,244.27,0,0,8.5,0,6.37,0,0,0,30.8,0,1.06,1.06,0
 96-106,0,0,0,13.11,1.09,1.09,298.35,0,5.46,2.19,17.49,0,0,0,3.28,0,1.09,2.19,3.28,1.09,20.76,0,1.09,0,268.84,0,1.09,18.58,0,6.56,0,2.19,0,15.3,1.09,3.28,0,1.09
108-118,0,0,0,16.85,2.3,0,241.28,0,4.6,0,22.98,0.77,0,0,0,0,0,0,0,0,16.09,0,1.53,0.77,286.47,0,0,9.96,0,5.36,0,0,0,9.19,0,3.83,0.77,0
120,0,0,0,19.6,0,3.92,339.04,0,11.76,3.92,27.44,1.96,0,0,3.92,1.96,0,1.96,1.96,0,21.56,0,1.96,0,458.59,1.96,0,13.72,0,3.92,0,1.96,0,17.64,0,5.88,1.96,1.96
