stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,fin.mesenchyme,glial,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle
  3-4,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,2.63,0,0,0,0,0,0,0,0,0,0,0,47.32,0,0,15.77,0,0,0,0,0,0,0
 10-12,6.29,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,31.47,0,0,31.47,0,0,0,6.29,3.15,0,0
 14-21,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,4,1,0,0,0,0,5,0,4,26,0
 24-34,0,0,0,0,0.82,0,0,0,0,0.82,0,0,0,0,0,0,6.57,0.82,0,0,0,0.82,0,0,0,8.21,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.56,0,0,0,0,0,0,0,0,2.42,0
 48-58,0,0,0,0,1.72,0,0.57,0,0,0,0,0,0,0,0.57,0,18.36,0,0,0,0.57,0,0,0,0,1.72,0
 60-70,0,0,0,1.96,1.96,0.98,0.98,0,0,0,1.96,0,0,0,0,1.96,16.69,0,0.98,0,0.98,0,0,0,0,3.93,0
 72-82,0,0,0,0,0.98,0,0,0,0,0,4.91,0,1.96,0.98,0.98,0,27.49,0,0.98,0,0,0,0,0,0,3.93,0
 84-94,0,0,0,0,2.12,0,0,0,0,0,8.5,0,3.19,0,0,1.06,14.87,1.06,5.31,0,1.06,0,0,0,0,0,0
 96-106,0,1.09,0,0,0,0,0,0,0,0,17.49,1.09,3.28,0,1.09,0,7.65,0,2.19,0,0,0,0,0,0,0,0
108-118,0,0,0,0,1.53,0,0.77,0,0.77,0.77,11.49,0,6.89,0,0.77,0,13.79,0,1.53,0,0,0,0,0,0,0,0.77
120,0,0,0,0,1.96,0,0,0,0,0,9.8,0,3.92,0,0,0,13.72,0,5.88,0,0,0,0,0,0,0,0
