stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,immune,mesenchyme,muscle,neural,otic,paraxial.mesoderm,presomitic.mesoderm,spinal.cord,vasculature,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,61.3,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,2.63,0,0,0,21.03,0,10.51,0,0,0,0
 10-12,0,0,6.29,0,0,3.15,0,0,0,0,0,0,25.18,0,9.44,0,0,0,0
 14-21,0,0,0,4,1,0,0,0,0,0,0,0,9,1,0,2,4,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,1.64,9.03,0,0,0,5.75,0,0.82
 36-46,0,0,0,0,0,0.81,0.81,0,0,0,0.81,1.61,4.83,0,0,0,1.61,0,0
 48-58,0,0,0,0,0,4.02,2.3,0,0,0,2.3,0,5.16,0.57,0,0,0.57,0,0
 60-70,0,0,0,0,0,1.96,0,0,0,0,0.98,0.98,0.98,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.98,0,0,0,0,2.94,0,1.96,0,0,0,0,0.98,0
 84-94,0,0,0,0,0,0,0,0,0,0,2.12,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,0,0,0,0,1.09,0,1.09,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0.77,0,0,0.77,0,0.77,0,0,0,0,0,0
120,0,0,0,0,0,0,1.96,0,0,1.96,0,0,0,1.96,0,0,0,0,0
