stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,39.43,0,21.03,0,0,0,1616.66,0,0,0,0,28.92,0,0,0,0,0,0,0,0,0,0,977.88,7.89,0,0,63.09,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,56.65,0,6.29,0,0,0,1343.76,0,0,0,0,9.44,0,0,0,0,0,3.15,0,0,0,0,1897.62,6.29,0,0,78.67,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,35,3,0,450,0,0,3,0,0,1,0,1,0,0,0,0,6,0,2,1976,3,21,1,0,0,0,0,7,1,0,5,41,0,0,0,0,0
 24-34,0.82,0.82,0,0,10.67,0,0,338.19,0.82,0,16.42,0,0.82,0,0,0,0.82,0,0,0.82,8.21,0,4.1,1434.86,0.82,11.49,0,0,0,3.28,0,0,0,0,0,52.53,0,0,2.46,0,0
 36-46,0,0,0,0,4.03,0.81,0,113.6,0,0,45.92,0,0,1.61,0,0,0,0,0,0,5.64,0,0,781.5,0,1.61,0.81,0,0,4.03,0,0,0,0.81,0,19.34,0,0,0,0,0.81
 48-58,0,0,0,0,3.44,0,0,224.36,0.57,0,46.48,0,0,0,0,0,0,0,0,0.57,5.74,0,1.15,525.61,0,1.15,0.57,0,0.57,0.57,0,0,0,0.57,0,17.21,0,0,1.15,0,1.15
 60-70,0,0,0,0,1.96,0.98,0,551.62,0.98,0,75.58,0,0,0,1.96,0.98,0,0,0,0,7.85,0.98,0,331.75,0,0.98,0.98,0,0,0.98,0,0,0,0,0,8.83,0,0.98,1.96,0,0
 72-82,0,0,0.98,0,17.67,0.98,0,742.14,2.94,1.96,123.69,0.98,0,0,0.98,0,0,0,0.98,0.98,33.38,0.98,1.96,350.45,0,2.94,0.98,0,0,0,0,0,0,0,0,4.91,0,0.98,2.94,1.96,3.93
 84-94,0,0,0,0,30.8,4.25,0,533.14,6.37,3.19,93.46,1.06,0,0,1.06,0,0,1.06,1.06,0,25.49,1.06,5.31,289.94,0,0,0,0,0,1.06,0,0,0,0,0,10.62,1.06,3.19,1.06,2.12,2.12
 96-106,0,0,0,0,26.23,1.09,1.09,570.47,1.09,0,100.54,2.19,0,3.28,1.09,2.19,1.09,0,2.19,0,20.76,1.09,3.28,208.73,0,1.09,1.09,0,0,5.46,0,0,1.09,1.09,0,2.19,2.19,1.09,5.46,2.19,1.09
108-118,0,0,0,0,6.13,3.06,0.77,353.87,0.77,0,93.45,1.53,0,0,0.77,0.77,0,0,0,0,8.43,2.3,0.77,226.73,0,1.53,0.77,0,0,3.06,0,0,0.77,0,0,2.3,2.3,0,0,1.53,0
120,0,0,0,0,21.56,0,0,235.17,1.96,0,101.91,0,0,0,0,1.96,0,0,1.96,0,9.8,0,0,197.94,0,3.92,0,0,0,1.96,0,0,1.96,0,0,1.96,0,0,0,1.96,1.96
