stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,slow.muscle,spinal.cord,vascular.smooth.muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,5.26,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,3.28,0,0,0,4.93,0,0.82,4.1,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,0,1.61,0,0,0.81,4.03,0,0,0,3.22,0,0,1.61,0
 48-58,0,0,0,0.57,0,0,0,0,0,0.57,0,0,0,0,0,0,1.72,0,0,0,4.02,0,0,0.57,0
 60-70,0,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0,0,3.93,0,0,0,7.85,0,0,0,0
 72-82,0,0,0,1.96,0.98,0,0,0,0,0,0,0.98,2.94,0.98,0,0,4.91,0,0,0,2.94,0,0,0,0
 84-94,0,0,0,2.12,0,0,1.06,0,1.06,0,1.06,0,2.12,0,0,0,3.19,1.06,0,0,10.62,0,0,0,0
 96-106,0,0,0,0,0,0,2.19,0,0,0,0,0,2.19,0,0,0,2.19,0,0,0,9.84,0,0,1.09,1.09
108-118,0,0,0.77,0.77,0,0.77,0,0.77,0,0,0,0,0,0,0,0,0.77,0,0,0,6.89,0,0,0,0
120,0,5.88,0,1.96,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,1.96,0,5.88,0,0,0,0
