stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,14,41,0,5,1,0,0,1,3,22,0,0,0,0,1
 24-34,0,0,0,0.82,0.82,0,0.82,0,0.82,0,0,0,2.46,0,0,0,0,0,16.42,0,9.85,11.49,11.49,0,21.34,0,0.82,0.82,0,4.1,39.4,0,0,0,0,4.1
 36-46,0,0,0,0,0,0,2.42,0,0,0.81,1.61,0,0.81,0,0,0.81,0,0.81,51.56,0,10.47,17.72,1.61,0.81,22.56,0,0,0,0,1.61,20.95,0,0,0,0,2.42
 48-58,0,0,0,0,0,0,5.16,0,0,2.87,0,0,0.57,0,0,0,0.57,0,105.58,4.59,10.33,26.97,2.87,0.57,19.51,0,0.57,0.57,0,1.72,33.85,0,1.72,0,0,1.72
 60-70,0,0,0,0,0.98,0.98,20.61,0.98,0,3.93,3.93,0.98,2.94,0.98,0,0,0,0,219.86,9.82,11.78,29.45,0,0,17.67,0,0,0.98,0,2.94,20.61,0,4.91,0,1.96,1.96
 72-82,0,0,0,0,0,0,89.33,0,2.94,5.89,7.85,0,7.85,0,1.96,0.98,2.94,0,308.24,14.72,10.8,51.05,0.98,0.98,34.36,0,1.96,0.98,0,4.91,10.8,0,13.74,0,14.72,1.96
 84-94,0,0,0,0,2.12,0,99.83,0,1.06,3.19,6.37,2.12,4.25,0,0,0,2.12,0,185.86,14.87,4.25,31.86,1.06,2.12,53.1,0,1.06,0,0,3.19,11.68,0,12.74,2.12,11.68,3.19
 96-106,0,0,0,0,2.19,0,113.66,1.09,1.09,7.65,6.56,0,9.84,3.28,1.09,0,4.37,1.09,140.98,13.11,1.09,29.51,0,4.37,53.55,0,3.28,1.09,0,6.56,4.37,0,7.65,1.09,14.21,5.46
108-118,0,0,1.53,0.77,0.77,0,107.23,0,3.83,4.6,6.89,0.77,6.13,0,0.77,0.77,2.3,2.3,132.51,9.96,6.13,34.47,0.77,2.3,62.04,0,3.83,0,0,3.83,5.36,0.77,4.6,0.77,3.83,6.89
120,1.96,0,0,1.96,9.8,1.96,154.82,0,3.92,5.88,5.88,0,7.84,0,0,0,3.92,0,90.15,13.72,3.92,33.32,5.88,5.88,52.91,0,0,0,0,3.92,3.92,1.96,3.92,0,5.88,0
