stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,6.29,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0,5,1,3,3,0,0,0,0
 24-34,0,0,0,0,1.64,0,0,2.46,0,0,0,0,0,0,0,0,0,0,1.64,0,0,2.46,30.37,0.82,0.82,0,0,6.57,0,1.64,0.82,0,0.82,0,0
 36-46,0,0,0,0,2.42,0,0,4.03,0.81,0,2.42,0,0,0,0,0,0,0.81,1.61,0,0,0.81,24.98,0,0,0,0,4.83,0.81,0,0.81,0,0,0,0
 48-58,0,0,0.57,0,1.72,0,0,9.18,0,0,1.72,0,0,0.57,0,0,0.57,0,6.31,0,0,1.72,14.92,0,0,0.57,0,2.3,0,0,1.15,0,0.57,0,0
 60-70,0,0,0,0,0.98,0,0,6.87,0,0,3.93,0,0.98,0,0.98,0,0,0,15.7,0,0.98,0.98,7.85,0,0,0.98,0,1.96,0.98,0,1.96,0,0,0,0
 72-82,0,0,0,0,0.98,0.98,0,4.91,0,1.96,11.78,0.98,0.98,0,1.96,0.98,0,0,27.49,0,0.98,1.96,14.72,0,1.96,0.98,0.98,6.87,0,0,0.98,0,0.98,0,0
 84-94,0,0,1.06,0,8.5,0,0,6.37,1.06,0,5.31,0,0,1.06,0,0,2.12,0,26.55,3.19,2.12,8.5,9.56,0,0,2.12,0,19.12,2.12,0,2.12,1.06,4.25,2.12,0
 96-106,0,0,0,0,7.65,0,0,7.65,2.19,0,5.46,1.09,0,3.28,1.09,0,1.09,0,24.04,1.09,0,4.37,7.65,0,2.19,1.09,0,10.93,0,0,0,1.09,2.19,2.19,3.28
108-118,0,0,0,0,8.43,0,0.77,4.6,1.53,0.77,3.83,3.06,1.53,2.3,0.77,0.77,0.77,0,19.92,0,1.53,5.36,13.02,0,0,2.3,0.77,10.72,1.53,0,0.77,0.77,1.53,1.53,0
120,0,0,1.96,0,9.8,0,0,11.76,1.96,0,7.84,3.92,3.92,0,0,0,0,0,29.4,0,3.92,1.96,7.84,0,3.92,0,0,9.8,0,0,1.96,0,3.92,3.92,1.96
