stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,11,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
 24-34,0,0,0,0.82,0,2.46,0,0,0,0.82,0,0.82,0,0.82,0,0,4.93,0,0,17.24,0,0,0,0,1.64,0.82,1.64,0,0.82,2.46,0,0,1.64,0,0
 36-46,0,0,0,0.81,0.81,3.22,0.81,0,0.81,0,0,0,0,0,0,0,0.81,0,0,21.75,0,0,0,0,3.22,0,0,0.81,0.81,3.22,0,0,0.81,0,0
 48-58,0,0,0,0,0,2.87,0,0,0,1.15,0,0,0,0,0,0,0.57,0,0,4.59,0,0.57,0,0,0,0,0,0.57,0,1.15,0,0,0,0,0
 60-70,0,0,0,2.94,0,6.87,4.91,0,0,0,1.96,0,0,0,0,0,1.96,0,0,15.7,0,0,0,0,2.94,0,0.98,0.98,0,0.98,0.98,0,0,0,0.98
 72-82,0,0,0,2.94,0,13.74,0,1.96,0,3.93,0,0.98,0.98,1.96,0,0.98,3.93,0,1.96,17.67,0,2.94,0,0,0.98,0,0,0,0,2.94,0.98,0,0,0,0
 84-94,0,0,0,1.06,0,4.25,0,0,0,3.19,0,0,0,1.06,0,0,1.06,1.06,0,13.81,0,1.06,0,0,0,0,0,0,0,1.06,0,1.06,0,0,0
 96-106,0,0,0,0,0,2.19,0,0,0,2.19,0,0,1.09,1.09,0,0,2.19,0,0,2.19,0,1.09,0,0,1.09,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0.77,0,0.77,3.06,0,1.53,0,3.06,0.77,0,0,0.77,0,1.53,1.53,0.77,0,3.83,1.53,0.77,0,0,0.77,0,0,0.77,0,0,0,0,0,0.77,0.77
120,0,0,0,5.88,1.96,0,0,0,0,0,0,0,1.96,1.96,1.96,0,5.88,0,1.96,5.88,0,1.96,0,1.96,5.88,0,0,0,0,0,0,0,1.96,0,0
