stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,3.15,0,0,0,0,0,0,6.29,0,0,12.59,0,0,0,0,0,0,0
 14-21,1,0,3,0,2,1,0,0,0,1,2,0,0,0,0,4,0,14,5,3,0,1,2,22,3,92,7,0,0
 24-34,0,0,3.28,0.82,0,0.82,0,0,0.82,0,0.82,0,0.82,0,0,7.39,0,9.03,3.28,0,0,0,10.67,0,3.28,32.83,3.28,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,6.45,0,3.22,4.03,0,0,0,7.25,0,0,0,0.81,0.81,0
 48-58,0,0,0,0,0,2.3,0.57,0.57,0.57,0,0,0,0,0,0,5.16,0,3.44,4.59,0.57,0,0,5.74,0,0,0,0,0,0
 60-70,0,0,0,0,1.96,3.93,0,0,0.98,0.98,0.98,0,0,0,0.98,2.94,0,1.96,4.91,1.96,0,0,5.89,0,0.98,0,0,0,0
 72-82,0,0.98,0,0,7.85,4.91,0,0,0,0.98,1.96,0,0,0,0,1.96,0.98,0,6.87,0,0,0,6.87,0,0,0,0,0,0
 84-94,0,0,0,0,0,2.12,0,1.06,1.06,1.06,5.31,0,0,2.12,0,3.19,0,0,4.25,1.06,0,0,15.93,0,0,0,2.12,0,0
 96-106,0,0,0,0,4.37,0,0,0,0,1.09,4.37,0,0,2.19,2.19,3.28,0,2.19,6.56,0,1.09,0,14.21,0,0,0,1.09,0,1.09
108-118,0,0,0,0,3.83,2.3,0,0,0,0.77,5.36,0,0,0,0,3.83,0,1.53,3.83,0,0,0,6.89,0,0,0,0,0,0
120,0,0,0,0,1.96,3.92,0,0,0,0,3.92,0,0,0,0,1.96,0,1.96,5.88,0,0,0,1.96,0,0,0,1.96,0,0
