stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,6.13,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.32,2.63,0,0,18.4,0,0,0,0,0,0,0,0,0,0
 10-12,15.73,0,18.88,0,0,0,22.03,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,176.23,6.29,0,0,56.65,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,7,4,0,11,0,0,0,0,0,3,0,0,0,0,0,0,7,1,0,6,61,3,1,0,1,0,13,1,2,16,16,0,1,0,0
 24-34,0,0.82,0.82,0,0.82,0,9.03,0,1.64,0,0,0,0,0,0,0.82,0,0,0.82,10.67,0,0,2.46,108.35,2.46,0,0.82,0,0.82,0,0,0,4.93,23.8,0,3.28,0,0.82
 36-46,0,0,0,0.81,0,0,15.31,0,0,0,4.03,0,0,0,0,0,0.81,0,0,9.67,0,0.81,2.42,74.93,1.61,0.81,0.81,0,0.81,0,0.81,0.81,0,15.31,0,1.61,0,0
 48-58,0,0,0,0.57,0,0,18.94,1.72,0,0,9.18,0,0,0,0,0,0,0.57,0,26.4,0,0.57,2.3,45.9,0.57,0,0.57,0,0.57,0,0,0,0,13.77,1.15,0,0,1.15
 60-70,0,0,0,0.98,0,0,33.37,1.96,0.98,0,10.8,0,0,0,0.98,0,0,0.98,0,32.39,0,0.98,2.94,66.74,0,0.98,0.98,0,0,0,0,0,0,8.83,0,0.98,0,0.98
 72-82,0,0,0,0.98,0.98,0,33.38,0,0,0.98,10.8,0,0,0,0,0,0,0,0,26.5,0,0,2.94,37.3,0,0.98,0.98,0,0.98,0,0,0,0,3.93,0.98,1.96,0,0
 84-94,0,1.06,0,2.12,3.19,0,20.18,0,0,3.19,5.31,2.12,0,0,2.12,0,1.06,1.06,0,27.61,1.06,0,3.19,27.61,2.12,0,2.12,0,2.12,0,0,0,0,3.19,0,2.12,1.06,0
 96-106,0,0,0,3.28,2.19,0,10.93,0,0,0,6.56,1.09,0,0,0,0,0,0,0,10.93,1.09,1.09,3.28,27.32,0,0,0,0,3.28,0,0,0,0,0,0,2.19,0,1.09
108-118,0,0,0,5.36,1.53,3.06,11.49,0,0,1.53,5.36,3.06,0,0.77,0.77,1.53,0.77,1.53,0.77,16.09,0.77,0,6.89,28.34,0.77,0.77,2.3,0,4.6,0,0,0,0,1.53,0.77,3.06,0,0
120,0,0,0,1.96,1.96,0,13.72,0,0,0,1.96,1.96,0,0,0,1.96,1.96,0,0,19.6,0,1.96,1.96,33.32,0,1.96,1.96,0,0,0,0,0,0,0,1.96,0,0,0
