stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,5.26,0,5.26,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.49,5.26,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.32,3.15,0,0,59.79,0,0,0,15.73,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,11,1,5,0,0,0,4,2,0,0,0,0,0,0,0,7,0,0,6,107,2,0,1,2,0,4,11,3,1,15,32,0,0,2,0,0
 24-34,0,0,0,0.82,6.57,0,38.58,0,0.82,0,8.21,0.82,0.82,0.82,2.46,0,0.82,0.82,0.82,13.95,0,0.82,13.95,236.41,0.82,3.28,1.64,0,0,17.24,0,3.28,0.82,0.82,68.95,0,0,7.39,0,0
 36-46,0,0,0.81,0,0,0.81,67.68,0,0,0.81,8.06,0,0.81,0,0,0,0,0,0,16.92,0.81,0,6.45,131.32,2.42,0.81,1.61,0,0,10.47,0,0,0,0,45.92,0,0,2.42,0,0.81
 48-58,0,0,0,0,2.87,0,92.96,0,0,1.15,8.61,1.15,1.72,0.57,0,0.57,0.57,0.57,0.57,35.58,0,1.15,7.46,83.2,1.15,2.3,1.15,0,0,4.59,0,0,0.57,0,26.97,0,0,1.72,0,0
 60-70,0,0,0,0,2.94,0.98,128.58,0.98,0.98,0.98,14.72,1.96,0.98,0.98,0.98,0.98,0,0,0.98,29.45,0,1.96,1.96,85.39,0,0.98,1.96,0,0.98,4.91,0,0.98,0,0,10.8,0,0,4.91,0,0.98
 72-82,0,0,0.98,0,1.96,3.93,79.51,0,0,1.96,17.67,1.96,2.94,0,0,0,0.98,0,0,52.03,0,2.94,4.91,100.13,0.98,2.94,1.96,0,0,7.85,0,0,0,0,8.83,0.98,0.98,3.93,1.96,0.98
 84-94,0,0,1.06,0,9.56,5.31,52.04,0,0,0,6.37,1.06,1.06,1.06,1.06,1.06,0,0,1.06,39.3,2.12,1.06,4.25,42.48,1.06,4.25,0,0,0,12.74,0,1.06,1.06,0,4.25,1.06,1.06,3.19,1.06,1.06
 96-106,0,0,2.19,0,5.46,7.65,49.18,0,0,1.09,14.21,4.37,0,0,0,1.09,1.09,0,0,28.41,1.09,0,1.09,38.25,0,2.19,2.19,0,0,12.02,0,0,0,0,2.19,1.09,1.09,2.19,2.19,1.09
108-118,0,0,0,0.77,8.43,3.83,41.36,0.77,0,1.53,17.62,1.53,0,2.3,2.3,2.3,0,2.3,0,26.81,0,0.77,3.83,51.32,1.53,3.06,1.53,0,0,8.43,0,0,0.77,0,1.53,0,1.53,6.89,0,0.77
120,0,0,0,0,7.84,9.8,31.36,0,0,3.92,17.64,3.92,0,0,0,1.96,1.96,0,0,21.56,0,1.96,1.96,58.79,0,1.96,1.96,0,0,13.72,0,0,0,0,0,3.92,1.96,5.88,0,0
