stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,liver,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,13.18,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,116.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,7.89,15.77,0,0,2.63,0,0,0,0,0,0,0,157.72,15.77,0,233.96,0,0,0,0,0,0,0
 10-12,0,3.15,15.73,0,0,6.29,0,0,0,0,0,0,0,147.91,9.44,0,236.02,3.15,0,6.29,0,3.15,0,0
 14-21,0,0,6,29,1,1,0,0,0,1,1,6,17,22,17,2,47,0,607,1,4,752,122,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0,1.64,4.1,4.93,1.64,0,0,0,1.64,0,0.82,43.51,10.67,0
 36-46,0,0,0,0,0,0.81,0,0,0.81,0,0,0,0,1.61,0,0,0,0,0,0,0,1.61,2.42,0
 48-58,0,0,0,0,0,2.87,0,0.57,1.15,0,0,0,0.57,8.61,0,0,0,0,0,0,0,0,0.57,0
 60-70,0,0,0,0,0,1.96,0,0,0,0,0,2.94,0,1.96,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,2.94,0,0,0,0,0,0.98,0,3.93,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,4.25,0,0,0,1.06,0,0,0,0,0,1.06
 96-106,0,0,0,0,0,0,1.09,0,0,0,0,1.09,0,4.37,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,0.77,0,3.83,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0
