stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,395.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,6.13,208.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,2.63,7.89,0,2.63,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,78.86,0,0,0,42.06,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,12.59,0,3.15,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.35,0,0,0,18.88,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,0,5,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,44,1,1,0,1,0,0,7,0,0,4,11,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,3.28,0,0,1.64,0,0,0,4.1,0,0,0.82,0.82,6.57,0.82,0,1.64,68.13,0,0.82,0,0,0,3.28,0,0,0.82,0.82,20.52,0,5.75,0,0
 36-46,0,0,0,0,0,0,0,3.22,0,0,2.42,0,0,0,6.45,0,0,0,0,3.22,0,0,2.42,73.32,0,0.81,1.61,0,0,0,0,0,0,0,18.53,0.81,4.83,0,0
 48-58,0,0,0,0,0.57,0.57,0,10.33,0,0,6.89,0,0,0.57,16.64,0,0,0,0,6.89,0,0,1.72,38.44,0,0,0.57,0,0.57,0,0,0,0,0,13.2,0,4.02,0,0
 60-70,0,0,0,0,0.98,0.98,0,10.8,0,0,4.91,0,0,0,9.82,0.98,0,0,0,7.85,0,1.96,1.96,19.63,0,0.98,0,0,1.96,0.98,0,0,0,0,7.85,0,2.94,0,0.98
 72-82,0,0,0,0,0,4.91,0,11.78,0,0,13.74,0,0,0.98,75.59,0,0,0,0,8.83,0,0,0.98,28.47,0,0,0,0,0.98,0,0,0,0,0,2.94,0,16.69,0,0
 84-94,0,0,0,0,0,2.12,0,7.43,0,1.06,6.37,0,0,0,66.91,0,0,0,0,6.37,0,2.12,2.12,12.74,0,0,0,0,0,2.12,0,0,0,0,4.25,0,8.5,0,1.06
 96-106,0,0,0,0,1.09,2.19,0,5.46,0,0,10.93,2.19,0,1.09,123.49,1.09,1.09,0,0,8.74,0,0,1.09,9.84,0,0,0,0,0,0,0,0,0,0,0,0,8.74,0,0
108-118,0,0,0,0,2.3,3.83,0.77,3.83,0.77,0,13.02,0,0,0,108,0,0.77,0,0,10.72,0,0,1.53,12.26,0,0,0.77,0,0.77,0,0,0,0,0,0,0,9.96,0,0
120,0,0,0,0,0,0,0,1.96,0,0,1.96,0,0,0,80.35,0,0,0,0,1.96,0,0,1.96,15.68,0,0,0,0,0,0,0,0,0,0,0,0,7.84,1.96,0
