stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,1,3,0,0,0,0
 24-34,0,0,0,2.46,0.82,0,0,0.82,0,0,0,0,0.82,0,0,0,0,9.03,0,0,0,0,13.95,0,0.82,0,0,0,0,10.67,3.28,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0,0,5.64,0,0,0,0,20.95,0,0,0,0,0,0,1.61,4.83,0,0,0,0
 48-58,0,0,0,0,0,0,0,1.72,0,0,0.57,1.15,0,0,0,0,0,20.08,0.57,0,0,0,25.25,0,0,0,0,0,0,1.72,2.87,0,0,0,0
 60-70,0,0,0,0,0,0,0,6.87,0.98,0,0,0.98,0,0,0,0,0,32.39,0.98,0.98,0,0,28.46,0,0,0,0,0,0,6.87,0.98,0,0,0,0
 72-82,0,0,0.98,0,0,0,0.98,4.91,0,0,0,0,0,0,0,0,0,126.63,0.98,0,0,0.98,26.5,0.98,0,0,0,0,0.98,3.93,5.89,0,0,0,0
 84-94,0,0,0,0,2.12,1.06,1.06,1.06,0,1.06,0,4.25,1.06,0,1.06,0,0,451.37,4.25,0,0,1.06,25.49,0,1.06,0,0,0,0,6.37,3.19,0,2.12,0,1.06
 96-106,0,0,0,0,4.37,1.09,2.19,16.39,0,0,0,6.56,1.09,0,3.28,2.19,1.09,671.01,5.46,0,1.09,0,75.41,1.09,1.09,0,0,0,7.65,4.37,0,0,0,1.09,0
108-118,0,0,0,0,0.77,3.06,3.06,10.72,0,0,0,3.06,0.77,0,0,0,0,1335.84,9.19,0,0.77,2.3,66.64,0,0,0.77,0,0.77,0,9.19,0.77,0,0.77,0,0
120,0,0,0,0,0,0,0,1.96,0,0,0,5.88,0,0,0,0,0,625.17,0,0,0,0,47.03,0,0,0,0,0,0,5.88,0,1.96,0,0,0
