stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.06,0,0,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41,0,0,0,0,0,0,1,43,0,0,0,0
 24-34,0,0,0,0,0,2.46,0,0.82,0,0.82,0,0,0,0,0,0,0.82,0,0,0,247.9,0,1.64,0,0,0.82,0,0.82,91.94,0,2.46,0,0
 36-46,0,0.81,1.61,0,0,62.84,0,0.81,0,2.42,0,0,0,0,0,0.81,0,2.42,0,0.81,815.34,0,2.42,0.81,0,1.61,0,0,178.05,0,2.42,0,0
 48-58,0,0,0.57,0,0,210.59,0,0,1.15,10.9,0,0,0.57,0.57,0,0,0,4.59,0.57,2.3,714.96,0,0.57,0.57,0,0,0.57,0,126.24,0,0,0,0.57
 60-70,0,0,0.98,0,0,692.95,0.98,0.98,0,19.63,0,0,0,1.96,0,0,0,14.72,0,0.98,1016.86,0,0.98,0,0,0,0.98,0,122.69,0.98,0,0,0
 72-82,0,0,7.85,0,0,443.71,0.98,0,0,9.82,0.98,0.98,0,0,0.98,0,0.98,15.71,0,0,692.07,0,1.96,1.96,0,0,0,0,56.94,0.98,0,0,0
 84-94,0,1.06,6.37,0,0,360.03,0,1.06,0,19.12,0,0,1.06,0,1.06,1.06,0,10.62,1.06,0,380.21,0,2.12,0,0,2.12,0,0,36.11,1.06,3.19,2.12,1.06
 96-106,0,0,3.28,0,1.09,201.08,1.09,1.09,0,7.65,0,0,1.09,1.09,0,0,0,6.56,0,3.28,246.98,0,2.19,0,0,3.28,0,0,9.84,0,1.09,1.09,2.19
108-118,0,0,2.3,0,0,144.77,0.77,0,0.77,10.72,0,0,0,0.77,0,0,0,6.13,0,0.77,262.73,0,0,0,0,0,0,0,9.19,0,0,0,0
120,0,0,3.92,1.96,0,99.95,0,0,1.96,1.96,0,0,0,0,0,1.96,0,3.92,0,1.96,178.34,1.96,0,0,0,0,0,0,1.96,0,0,0,0
