stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,51,0,0,0,0,0,1,0,46,0,0,0,0,0
 24-34,0,0,0,0,0,0,2.46,0,0.82,0,2.46,0,0.82,0.82,0,0,0,1.64,0,2.46,0,0,0.82,466.25,0.82,4.1,0,0,0.82,0,0,145.29,0,0,0,0,0
 36-46,0,0,0,0.81,0,0,19.34,0,0,0,4.03,0,0,0,0,0,0,0,0,4.03,0,0,0,1267.32,0,5.64,2.42,0,2.42,0,0,263.45,0,0,2.42,0,0
 48-58,0,0,0,4.02,0.57,0,111.89,0,0.57,0.57,16.64,0.57,1.15,0.57,0.57,0.57,0,0,0,10.33,0,0,1.72,1584.85,0,1.72,0.57,0.57,1.15,0,0,276,0,0,1.72,0,0.57
 60-70,0,0,0.98,3.93,0,0,311.14,0,0,0,14.72,1.96,0,1.96,0,0,0,1.96,0,17.67,0,0,1.96,2242.78,0,0.98,0.98,0,1.96,0,0.98,316.05,0,0,1.96,0,0.98
 72-82,0,0,0.98,12.76,1.96,0,413.28,0,0.98,1.96,41.23,0,0.98,0.98,0,0.98,0,1.96,0.98,42.21,0.98,3.93,4.91,1980.99,0.98,6.87,0,0,4.91,0,0,178.66,0.98,0,2.94,0,5.89
 84-94,0,0,1.06,10.62,4.25,0,288.87,1.06,2.12,0,39.3,0,0,1.06,1.06,2.12,1.06,1.06,0,19.12,0,2.12,4.25,1001.5,0,3.19,4.25,0,5.31,0,0,79.65,0,2.12,4.25,1.06,0
 96-106,0,0,0,16.39,5.46,0,243.7,0,2.19,2.19,38.25,1.09,1.09,1.09,1.09,1.09,0,2.19,1.09,20.76,2.19,0,3.28,871,1.09,7.65,0,0,5.46,0,1.09,42.62,0,0,1.09,2.19,0
108-118,0,0,0.77,8.43,3.06,0.77,234.38,0,1.53,0.77,34.47,0.77,0,2.3,0,0.77,0.77,0.77,0.77,19.15,0,0,2.3,926.05,0,4.6,0.77,0.77,3.06,0,0,34.47,3.06,0,1.53,0.77,0
120,0,0,0,15.68,5.88,0,233.21,1.96,3.92,0,43.12,0,0,11.76,0,1.96,0,1.96,0,15.68,0,1.96,1.96,1175.87,0,7.84,0,0,5.88,0,3.92,50.95,0,0,3.92,1.96,0
