stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,0,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,10.51,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,1,1,0,6,1,0,1,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,18.88,0,1.64,0,0,1.64,0,0,8.21,0,0,0,0
 36-46,0,0,0,0,0,0,5.64,0,0,0,0,0,0,0,0,0,0,0,4.03,0,0.81,40.28,0,0,0,0,0,0,0.81,12.09,0,0,0,0
 48-58,0,0,0,0,0,0,11.48,0.57,0,0.57,0,2.3,0,0.57,0,0,0,0,2.3,0,1.15,26.97,0,0,0,0,10.9,0,0,8.03,0,0,0,0
 60-70,0,0,0,0,0,0,9.82,0.98,0,0,0,1.96,0,1.96,0,0,0,0,0.98,0,0,11.78,0,0,0,0,46.13,0,0,3.93,0,0,0,0
 72-82,0,0,0,2.94,0,0,4.91,0.98,0,0,0,0.98,1.96,0.98,0,0,0,0.98,1.96,2.94,0,15.71,0,0,0.98,0,138.41,0,0.98,3.93,0,0,0,0.98
 84-94,0,0,1.06,16.99,1.06,0,7.43,3.19,0,0,0,4.25,0,9.56,0,0,0,0,2.12,5.31,0,8.5,1.06,0,0,0,593.68,0,0,3.19,1.06,0,0,0
 96-106,0,0,0,45.9,0,1.09,4.37,9.84,1.09,3.28,0,0,10.93,19.67,0,0,1.09,0,5.46,7.65,1.09,19.67,0,0,1.09,0,673.19,0,0,1.09,1.09,0,0,0
108-118,0,0,0,73.53,0.77,0,8.43,23.74,0.77,3.06,2.3,0,11.49,55.15,0.77,2.3,0.77,0,4.6,19.92,1.53,22.21,0.77,0.77,0,0,1155.07,0,0,0,3.06,0,0,0.77
120,0,0,0,47.03,0,0,5.88,13.72,0,1.96,1.96,0,13.72,15.68,0,0,1.96,0,1.96,7.84,0,13.72,0,0,0,0,470.35,0,0,0,1.96,1.96,1.96,0
