stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,672.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,18.39,380.04,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.92,2.63,0,0,5.26,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,9.44,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,14,1,20,0,2,0,1,1,0,0,1,2,0,0,3,5,5,0,0,1,20,3,0,0,1,0,2,0,0,4,5,0,0,6,0,7
 24-34,0,0,0,6.57,0,52.53,0,1.64,0,0,0.82,0,0,6.57,7.39,1.64,0,4.1,40.22,4.1,0,0,0.82,19.7,3.28,0.82,0.82,0,0,8.21,0,1.64,0.82,5.75,0,0,20.52,0,20.52
 36-46,0,0,0,3.22,0,23.36,0,1.61,0,1.61,0,0,1.61,8.06,0.81,6.45,0.81,0,20.14,0.81,0,0,0,9.67,4.03,1.61,0,0,0,5.64,2.42,2.42,0,0.81,0,0,12.09,0,25.78
 48-58,0,0,0,2.87,0.57,32.13,0.57,1.15,0.57,1.15,0,0,1.15,9.18,0,7.46,0.57,0,13.77,9.75,0,0,0.57,6.89,1.15,1.72,0.57,0,0,5.74,0,0,0,0.57,0,0,10.33,0,20.66
 60-70,0,0,0.98,1.96,0.98,19.63,0,1.96,1.96,4.91,2.94,0,0,12.76,0,14.72,2.94,0.98,5.89,15.7,0,0,1.96,1.96,0.98,0.98,0,0,0.98,10.8,0,1.96,0,0.98,0,0,10.8,0,16.69
 72-82,0,0,1.96,1.96,0.98,32.39,0,0,2.94,8.83,5.89,0,0.98,11.78,0,17.67,2.94,2.94,9.82,50.06,0,0.98,3.93,8.83,0,0,0,0,1.96,11.78,0,1.96,0,0,0,0.98,13.74,0,18.65
 84-94,0,0,1.06,8.5,0,64.78,0,0,3.19,9.56,8.5,0,0,25.49,2.12,19.12,0,1.06,22.3,33.99,0,1.06,3.19,4.25,0,4.25,2.12,0,0,30.8,0,6.37,0,0,1.06,2.12,20.18,0,10.62
 96-106,0,0,0,19.67,2.19,34.97,0,2.19,2.19,8.74,9.84,0,2.19,32.79,5.46,27.32,2.19,1.09,20.76,43.71,3.28,2.19,5.46,8.74,1.09,12.02,2.19,0,0,49.18,0,5.46,0,1.09,1.09,0,40.44,0,17.49
108-118,0,0,0.77,17.62,0,39.06,0,3.06,3.06,6.89,9.19,0,0,27.57,5.36,34.47,0.77,1.53,13.02,30.64,0,2.3,5.36,6.13,1.53,3.83,0.77,0,0,37.53,0,3.06,0,0.77,0,0.77,22.98,0.77,16.85
120,0,0,0,9.8,0,3.92,0,0,0,3.92,17.64,1.96,1.96,39.2,0,11.76,3.92,0,3.92,25.48,0,1.96,5.88,7.84,1.96,5.88,0,0,1.96,50.95,0,1.96,0,0,0,0,23.52,0,1.96
