stage,eye,glial,ionocyte,lateral.line,liver,mesenchyme,neural,otic,periderm,presomitic.mesoderm,pronephros,spinal.cord
 10-12,0,0,0,0,0,0,6.29,0,0,0,0,0
 14-21,0,0,0,0,0,0,11,0,0,1,0,0
 24-34,0.82,0,0,0,0,0,1.64,0,0,0,0,2.46
 36-46,0.81,0,0,0,0,1.61,8.86,0,0,0,0,0
 48-58,2.3,1.15,0,0,0,1.15,4.59,0.57,0,0,0,0.57
 60-70,3.93,0.98,0,0,0,0.98,6.87,0,0.98,0,0,0.98
 72-82,0.98,0,0,0,0,0.98,9.82,0,0,0,0,0
 84-94,1.06,0,0,0,0,1.06,2.12,0,0,0,0,0
 96-106,1.09,1.09,0,0,0,2.19,4.37,0,2.19,0,0,0
108-118,2.3,0,0.77,0.77,0.77,0.77,2.3,0,0.77,0,0.77,0
120,0,0,0,0,0,0,1.96,0,0,0,0,0
