stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,5.26,0,0,2.63,0,0,0,0,0,0
 10-12,0,6.29,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,1,0,1,0,0,0,0,0,1,0,2,1,0,1,0,0,0,0,1,0,0,0,4,0,4,0,0,0,4,0,10,0,0,0,0,0
 24-34,0,0,4.93,0,0.82,0.82,0,0,0,0,0,0,0,0,2.46,0,0,0,0,0,0,1.64,0,0,0.82,64.03,0.82,24.63,0,0,0,6.57,0,9.03,0,0,3.28,0,0.82
 36-46,0,0,1.61,0,0,0,0,2.42,0,0,0,3.22,0,2.42,0,0,0,0,0,0,0,2.42,0,0,0,119.24,0,8.86,0,0,0,1.61,0,10.47,0,0,0,0,0
 48-58,0,0,1.15,0,2.3,0,0,9.18,0,0,0.57,7.46,0,30.41,0.57,0,0,2.3,0,0,0.57,2.3,0.57,0,0.57,118.78,0,1.72,0,0,0.57,7.46,0,8.61,0,0,0.57,0,0
 60-70,0,0,0,0,5.89,0,0,14.72,0,0,0,5.89,0.98,10.8,0,0,0,5.89,0,0,0,4.91,1.96,0,0,165.88,0.98,0,0,0,0,9.82,0,10.8,0.98,0,0,0,0
 72-82,0,0,0,0,2.94,0,0,11.78,0,0,0,9.82,10.8,5.89,0,0,0,9.82,0,0.98,0,7.85,6.87,0,0.98,201.24,0,0,0,0,0,5.89,0,9.82,0,0.98,2.94,0.98,0
 84-94,0,0,4.25,0,2.12,0,0,15.93,0,0,1.06,6.37,11.68,6.37,0,2.12,0,21.24,1.06,0,0,5.31,5.31,1.06,0,108.33,0,1.06,1.06,0,0,25.49,0,9.56,0,0,0,0,0
 96-106,0,0,4.37,0,9.84,2.19,0,15.3,0,1.09,1.09,7.65,17.49,2.19,0,0,1.09,24.04,0,0,0,6.56,12.02,0,1.09,103.82,0,2.19,0,0,0,33.88,0,13.11,2.19,1.09,1.09,0,1.09
108-118,0,0,3.83,0.77,9.96,0,0.77,8.43,0.77,1.53,0,11.49,21.45,0,0.77,0.77,0,40.6,0,0.77,0,6.89,4.6,0,0,147.06,0,0.77,0.77,0,0,26.81,0,13.02,0,0.77,0.77,0,0.77
120,0,0,1.96,0,7.84,0,0,3.92,0,0,0,7.84,7.84,0,0,1.96,3.92,17.64,0,0,0,5.88,0,0,0,152.86,0,0,0,0,0,7.84,0,5.88,0,0,1.96,0,0
