stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,glial,hatching_gland,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature,xanthophores
  3-4,0,158.14,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0
  5-6,6.13,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,10.51,0,2.63,0,0,13.14,0,0,70.98,5.26,0,28.92,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,72.38,3.15,0,12.59,0,3.15,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,0.82,0,0,0,0,0,0,0,0
 36-46,0,0,0,1.61,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0
 48-58,0,0,0,0.57,0.57,0,0.57,0,0.57,0,2.3,0,0,0,0,0,0,0,0
 60-70,0,0,0,0.98,3.93,0,0,0,1.96,0,1.96,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,1.96,0.98,0,0,0,2.94,0,0.98,0,0,0,0,0,1.96,0.98,0
 84-94,0,0,0,3.19,0,1.06,0,0,4.25,0,0,0,1.06,0,1.06,0,0,0,0
 96-106,0,0,0,1.09,0,0,0,0,0,0,1.09,0,1.09,0,0,0,0,0,0
108-118,0,0,0,1.53,0,0,0,0,1.53,0,0.77,0,0,0,0,0,0,0,0.77
120,0,0,0,1.96,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0
