stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,5,0,4,19,0,1,9,0,2,6,0,0,0,0,0
 24-34,0,0,1.64,11.49,0,2.46,0,0,2.46,1.64,1.64,0,0,0,0,0,0,0.82,17.24,0,0,15.6,31.19,4.93,2.46,3.28,0,0,7.39,0,0,9.85,14.78,0,0,0,0,0
 36-46,0,0,0,12.89,0,7.25,0,0.81,4.83,1.61,0,0.81,0,0,0,0,0,1.61,77.34,0,0,26.59,33.03,4.83,5.64,7.25,0,0,10.47,0,0,0,11.28,0,0,3.22,0,2.42
 48-58,0,0,0,12.05,0,28.12,0,0.57,2.87,4.02,0.57,3.44,0,0,0,0,0,1.72,89.51,0,0,30.41,31.56,2.87,0,5.74,0,0,4.02,0,0,0,8.03,0,0,4.02,0.57,2.87
 60-70,0,0,0,24.54,0,61.84,0,4.91,2.94,34.35,0,4.91,0,0,0.98,1.96,0,0,174.71,0.98,1.96,28.46,53.98,4.91,0,6.87,0,0,5.89,0,0.98,0,2.94,1.96,3.93,4.91,0,3.93
 72-82,0,0,1.96,24.54,0,47.12,0,2.94,6.87,74.61,0,2.94,0,0,1.96,0,0.98,0,201.24,0,3.93,26.5,53.01,5.89,2.94,14.72,0,0.98,1.96,0,1.96,0,5.89,0,6.87,22.58,1.96,6.87
 84-94,0,0,1.06,55.23,1.06,37.17,0,1.06,2.12,37.17,0,3.19,1.06,0,2.12,0,0,0,164.62,0,2.12,20.18,45.67,18.05,3.19,22.3,0,0,11.68,0,0,0,3.19,2.12,2.12,19.12,1.06,2.12
 96-106,0,0,3.28,43.71,0,73.22,1.09,3.28,4.37,63.39,3.28,4.37,1.09,0,3.28,0,0,0,163.93,2.19,0,19.67,39.34,18.58,7.65,16.39,0,0,7.65,0,0,0,3.28,0,4.37,15.3,1.09,1.09
108-118,0,0,1.53,54.38,0,50.55,0.77,2.3,5.36,31.4,2.3,2.3,1.53,0.77,5.36,0,0.77,0.77,141.7,0,2.3,12.26,44.43,18.38,6.13,13.02,0,0.77,3.83,0,0.77,0,3.06,3.06,2.3,24.51,1.53,7.66
120,0,0,0,54.87,0,50.95,0,1.96,3.92,39.2,3.92,1.96,0,0,3.92,1.96,0,0,115.63,0,1.96,5.88,47.03,31.36,0,17.64,0,0,5.88,0,0,0,7.84,3.92,5.88,7.84,1.96,9.8
