stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0
 24-34,0,0.82,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,6.57,0,0.82,0,0,0,0,0.82,2.46,0,0,0,0.82
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0.81,0,0,0,4.03,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0.57,0,0,0,0.57,0,0,0,4.02,0,0,0,0,0,0,0,1.15,1.15,0,0,0.57
 60-70,0,0.98,0,0,0.98,0,0,0,0,0,0,0,0.98,0,0,0,0,0.98,0,22.58,0,3.93,0,0,0,0,0,0,0,0.98,5.89,0,23.56,0
 72-82,0,0.98,0,0,12.76,0,0,0,1.96,0,0,0,0,0,0,0.98,0,3.93,0.98,30.43,0,13.74,0,0,0,0,0,0,0.98,1.96,15.71,2.94,73.62,0.98
 84-94,0,3.19,1.06,0,9.56,0,0,0,0,0,0,1.06,0,0,0,0,0,7.43,0,37.17,0,7.43,0,0,0,0,0,0,1.06,0,14.87,1.06,93.46,0
 96-106,0,2.19,0,0,9.84,2.19,0,1.09,1.09,2.19,0,1.09,1.09,1.09,1.09,0,1.09,8.74,0,24.04,2.19,15.3,0,0,0,0,0,2.19,0,0,13.11,0,119.12,1.09
108-118,0,0.77,1.53,0.77,14.55,1.53,0.77,0,3.06,0,0,0,0,1.53,0,0,0.77,6.89,0.77,22.98,0.77,19.15,0.77,0,0.77,0,0.77,0.77,0,0,2.3,1.53,75.06,0
120,0,0,1.96,0,3.92,0,0,0,3.92,0,0,0,0,0,1.96,0,1.96,5.88,0,31.36,5.88,19.6,0,0,0,0,1.96,1.96,0,0,11.76,0,117.59,0
