stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,2.63,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,131.44,0,0,0,5.26,0,10.51,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,3.15,0,3.15,12.59,0,0,0,0,0,37.76,0,0,0,0,0,0,0,0,0,0,626.25,0,0,0,53.5,0,9.44,3.15,0,0,9.44,0,0,0,0,0,0
 14-21,0,0,0,7,1056,0,6,0,6,0,1,1,4,0,0,15,0,0,0,14,4,0,51,36,9,0,0,0,0,62,73,0,1,814,8,0,0,1,0,0
 24-34,0,0,0,2.46,603.33,0,3.28,0,49.25,1.64,3.28,0,2.46,0.82,0.82,9.85,3.28,0,0,35.3,12.31,0,33.66,46.79,0,4.1,0,0,0,93.58,0,0,0,67.31,9.85,0,0,2.46,0,0
 36-46,0,0,0,0,306.96,0,9.67,0,45.12,1.61,3.22,0.81,1.61,0.81,0,4.83,0,0.81,0,31.42,1.61,4.03,8.06,27.39,0.81,4.83,0,0,0,58.01,0,0,0,0.81,5.64,0,0.81,0,0,0
 48-58,0,0,0,0,277.72,0,13.77,0,49.92,1.72,4.02,0,2.3,1.15,0,3.44,3.44,0,0,32.13,3.44,3.44,3.44,28.69,0,2.3,0,0,0,13.2,0,0,0,0,4.02,0,0,0.57,0,0.57
 60-70,0,0,0,0,276.79,0,9.82,0,66.74,0.98,1.96,0.98,0,0,2.94,1.96,5.89,0,0,28.46,3.93,6.87,1.96,18.65,0,5.89,0,0,0.98,4.91,0,0.98,0,0,2.94,1.96,0,0,0.98,0
 72-82,0,0,0,0,365.18,1.96,19.63,0.98,59.88,0.98,6.87,6.87,4.91,0,0,5.89,12.76,0,0,36.32,18.65,9.82,5.89,89.33,0.98,7.85,0,0,1.96,0.98,0,0.98,0,0,1.96,8.83,0.98,0.98,5.89,0
 84-94,0,0,0,0,624.48,1.06,23.36,0,105.14,0,5.31,16.99,3.19,0,0,18.05,4.25,1.06,0,27.61,22.3,11.68,4.25,31.86,0,10.62,1.06,0,0,8.5,0,0,0,0,2.12,25.49,3.19,1.06,8.5,0
 96-106,0,0,0,0,672.1,3.28,16.39,0,87.43,1.09,9.84,49.18,1.09,0,1.09,12.02,9.84,1.09,0,26.23,19.67,5.46,4.37,83.06,0,20.76,3.28,0,2.19,6.56,0,0,1.09,0,2.19,28.41,0,0,5.46,0
108-118,0,0,1.53,0,634.22,0.77,12.26,0,147.06,2.3,3.06,65.87,0,0,0.77,15.32,7.66,0.77,0,27.57,15.32,5.36,1.53,82.72,1.53,18.38,0,0,0,2.3,0,1.53,0,0,1.53,52.85,0,0,4.6,0.77
120,1.96,0,0,0,535.02,1.96,19.6,0,82.31,0,0,31.36,0,0,0,11.76,5.88,0,1.96,17.64,15.68,13.72,0,131.31,0,3.92,0,0,0,5.88,0,0,0,0,0,21.56,0,1.96,0,0
