stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,immune,iridophores,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 14-21,0,2,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,2,0,6,0,0
 24-34,0,0,0,3.28,0,0,0,0,0,0.82,0,0,13.13,1.64,0,0.82,0,1.64,3.28,0.82,1.64,0.82,0
 36-46,0,0.81,0,0.81,0,1.61,0.81,0,0,0,0,0.81,16.92,0,0.81,0,0,0,0,0,3.22,0,0
 48-58,0,0.57,0,3.44,1.15,1.72,0,0,0,2.87,0,0.57,11.48,0,0,0.57,0,0,0,0,1.72,0,0
 60-70,0,1.96,0,4.91,0,5.89,0,0,0,2.94,0,0,11.78,0,0.98,0,0,1.96,1.96,0,1.96,0,0
 72-82,0,0,0.98,12.76,0,9.82,0,0,0,2.94,0,0.98,19.63,0,0.98,0.98,0,0,0,0,1.96,0,0
 84-94,0,0,1.06,9.56,0,2.12,0,0,0,3.19,1.06,0,8.5,1.06,0,0,0,1.06,0,0,0,0,0
 96-106,0,0,0,3.28,0,5.46,0,1.09,0,3.28,0,0,7.65,0,0,0,1.09,0,0,0,2.19,1.09,1.09
108-118,0,0,0,1.53,0.77,2.3,0,0,0.77,0.77,0,0,3.83,0.77,0.77,0,0,0.77,0.77,0,0,0,0
120,0,0,0,7.84,0,0,5.88,0,0,3.92,0,0,15.68,0,0,1.96,0,0,0,0,3.92,0,0
