stage,blastomeres,epidermis,erythrocytes,eye,glial,gut,heart,lateral.line,liver,mesenchyme,muscle,neural,notochord,otic,periderm,pronephros,slow.muscle,somites,spinal.cord
  7-9,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0
 14-21,0,2,0,3,0,0,0,0,0,2,2,36,0,1,2,1,1,3,6
 24-34,0,1.64,0.82,2.46,1.64,0,0.82,0,0,1.64,0,38.58,0.82,0.82,6.57,0,0,0,7.39
 36-46,0,0,0.81,4.03,0.81,0,0,0,0,0,0,18.53,0,0,0.81,0,0,0,3.22
 48-58,0,0.57,0,3.44,0.57,0,0,0,0.57,0,0,17.21,0,0,0.57,0,0,0,4.59
 60-70,0,0.98,0,1.96,0,0,0,0,0,0,0,13.74,0,0,0.98,0,0,0,1.96
 72-82,0,0,0.98,1.96,0.98,0,0,0.98,0,3.93,1.96,9.82,0,0,0,0.98,0,0,0
 84-94,0,0,0,4.25,1.06,2.12,0,0,0,1.06,1.06,5.31,0,0,0,0,0,0,0
 96-106,0,0,0,2.19,2.19,0,0,0,0,2.19,1.09,2.19,0,1.09,0,0,0,0,1.09
108-118,0,0,0.77,0,0,0,0,0,0,0,0.77,3.06,0,0,0,0,0,0,0
120,0,0,0,0,1.96,1.96,0,0,0,3.92,0,3.92,0,0,1.96,0,0,0,1.96
