stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,2.63,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,13.14,5.26,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.58,0,0,0,15.73,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,1,4,59,2,0,0,0,0,1,0,1,0,0,0,0,0,0,6,0,0,6,55,1,0,0,2,0,0,0,5,0,5,14,0,0,13,0,0
 24-34,0,0,0.82,0,0,4.1,8.21,0,0,0.82,1.64,0,0,0.82,0,0,0,0,0,0,3.28,0,0,0.82,86.19,0,0,0,0,0,0.82,0,0,0,0.82,17.24,0,0,37.76,0,1.64
 36-46,0,0,0,0,0,0,28.2,0,0,1.61,5.64,0,0,0,0,0,0,0,0,0,3.22,0,0,0.81,324.68,0,0.81,0,0,0,0,0,0,0,0,19.34,0,0,17.72,0,2.42
 48-58,0,0,0.57,0,1.15,0.57,97.55,0,0,0,13.77,0,0.57,0.57,0.57,0,0.57,0,0,0,7.46,0,0,0,356.91,0,0.57,0.57,0,0,0,0,0,0,0,22.95,0,0.57,25.25,0,0.57
 60-70,0,0,0,0,1.96,0,377.89,0,0,0.98,26.5,0,0.98,0,0,0,0,0,0,0.98,8.83,0.98,0,1.96,559.47,0,0,0,0,0.98,0,0,0,1.96,0,35.33,0,0,32.39,0,0
 72-82,0,0,0.98,0,3.93,1.96,280.76,0.98,0.98,1.96,36.32,0,0,0,0,0,2.94,0,0.98,1.96,15.71,0,0.98,1.96,426.04,0,0,0.98,0,0,2.94,0,0,0,0,16.69,1.96,0.98,45.16,0.98,1.96
 84-94,0,0,2.12,0,7.43,1.06,194.35,0,1.06,4.25,16.99,0,0,0,0,0,4.25,0,1.06,2.12,8.5,0,1.06,2.12,209.22,0,0,0,0,0,1.06,0,0,0,0,7.43,3.19,1.06,41.42,0,2.12
 96-106,0,0,1.09,0,7.65,2.19,139.88,1.09,1.09,1.09,25.14,0,0,0,1.09,1.09,5.46,0,0,0,14.21,1.09,0,1.09,151.91,0,0,0,0,0,1.09,1.09,0,0,0,3.28,3.28,0,41.53,0,2.19
108-118,0,0,1.53,0,1.53,0,129.45,0,0,0.77,9.96,0.77,0,0.77,0.77,0.77,3.83,0.77,1.53,0.77,9.96,0,0,2.3,225.96,0,0,0,0,0,0.77,0,0,0.77,0,3.83,0.77,0,30.64,1.53,0.77
120,0,0,1.96,0,3.92,3.92,97.99,0,0,0,17.64,1.96,0,0,0,0,1.96,0,1.96,0,7.84,0,0,0,221.46,0,0,0,0,0,0,0,0,0,0,5.88,1.96,0,29.4,0,0
