stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,2,0,0,0,24,18,1,0,0,0,1,2,2,5,13,0,0,0,0,0
 24-34,0,0,2.46,0,0,11.49,3.28,0,0,0,0,0.82,0.82,0,0,0,0.82,0,0.82,0,0,11.49,98.5,1.64,38.58,5.75,0,0.82,0,0.82,9.03,22.16,65.67,0,0,0,0,0
 36-46,0,0,1.61,0,0,8.86,6.45,0,0.81,0.81,0,0,0.81,0,0.81,0,1.61,0,4.03,0.81,0,10.47,107.96,0,40.28,4.83,0.81,1.61,0,0.81,0.81,6.45,174.02,0,0,0,0,0.81
 48-58,0,0,1.72,0,0,33.28,8.61,0.57,0,6.31,0,0.57,0.57,0,0,0.57,3.44,0,5.74,2.87,0,17.79,129.11,0,32.13,6.89,0,1.15,0,0,1.15,0,165.26,0,0,1.15,0,0
 60-70,0,0,1.96,0,0,98.15,5.89,0.98,1.96,4.91,0,0.98,0,0.98,0,0,1.96,0,2.94,7.85,0.98,12.76,153.12,0.98,30.43,9.82,0,0.98,0,0,3.93,0,121.71,0.98,0,5.89,0,0
 72-82,3.93,0,1.96,0,0,227.75,6.87,0.98,0,22.58,7.85,0,0,0,1.96,0.98,4.91,0,18.65,15.71,0.98,19.63,203.2,0,57.92,21.6,0,10.8,0,0,1.96,0,86.39,2.94,0,19.63,2.94,0
 84-94,1.06,0,8.5,0,0,206.04,6.37,2.12,0,16.99,6.37,2.12,0,0,7.43,0,3.19,0,12.74,9.56,0,12.74,105.14,1.06,43.54,35.05,0,6.37,0,2.12,0,0,50.98,6.37,0,12.74,4.25,0
 96-106,2.19,0,17.49,1.09,0,213.11,10.93,2.19,0,13.11,17.49,1.09,2.19,3.28,5.46,0,15.3,3.28,19.67,12.02,1.09,18.58,96.17,3.28,65.57,44.81,0,42.62,0,2.19,3.28,0,18.58,12.02,0,17.49,4.37,0
108-118,2.3,0,12.26,0.77,0.77,205.28,10.72,3.83,0.77,16.85,8.43,0,0.77,0,10.72,0,6.13,0.77,13.02,12.26,0,19.92,102.64,3.06,50.55,29.87,0.77,18.38,0,0.77,3.83,0,18.38,11.49,0,16.09,3.06,0
120,0,0,7.84,1.96,0,166.58,15.68,1.96,0,13.72,7.84,0,0,0,1.96,1.96,13.72,0,15.68,7.84,1.96,35.28,94.07,5.88,29.4,27.44,0,21.56,0,0,0,0,15.68,3.92,1.96,15.68,3.92,0
