stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,hatching_gland,heart,immune,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,3,2,0,0,0,1,8,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,0,0,0,2.46,0,37.76,0,0.82,0.82,1.64,0,12.31,0,0,0.82,0,0
 36-46,0,0,0,0,6.45,0,0.81,0,0.81,0,0,0,0.81,0.81,0,95.87,0,0,0,0,0,20.14,0,0,0.81,0,0
 48-58,0,0,0,0,7.46,0,3.44,0,0,0.57,0,0,0,2.87,0,130.25,0,1.15,0,1.15,0,17.79,0,0,0,0,0.57
 60-70,0,0,0.98,0,25.52,0,0.98,0,0,0,0,0,0,5.89,0,250.29,0,2.94,0,0,0,24.54,0,0,0,0,0
 72-82,0,0,1.96,0,40.25,0.98,6.87,0,0,0.98,0,0,0,4.91,0,309.22,0.98,0.98,0,0,0,14.72,0,0,0.98,0,0
 84-94,0,0,3.19,0,27.61,0,7.43,0,0,0,1.06,0,0,4.25,0,145.5,0,0,0,0,0,12.74,0,0,0,1.06,0
 96-106,0,0,0,1.09,38.25,1.09,3.28,0,0,0,0,1.09,0,0,0,128.96,0,1.09,0,2.19,0,2.19,0,1.09,1.09,0,0
108-118,0,0,1.53,0,23.74,0,6.13,0,0,0,0,0,0,4.6,0.77,172.34,0,0.77,0,0,0,5.36,0.77,0.77,1.53,0.77,0.77
120,0,0,1.96,0,25.48,0,1.96,0,0,1.96,0,0,0,3.92,0,195.98,0,1.96,0,1.96,0,5.88,0,0,1.96,0,0
