stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,1739.49,22903.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1423.22,0,0,0,0,0,0,0,0,0
  5-6,2317,19479.98,0,30.65,0,0,0,0,0,0,0,0,0,122.59,0,0,0,0,0,0,0,459.72,67.43,0,0,85.81,0,815.24,0,0,0,0,0,0,0,0,0
  7-9,86.75,218.18,0,231.33,0,0,0,1769.12,0,0,0,0,0,328.59,0,0,0,0,0,0,0,5583.39,236.58,0,0,1382.7,0,73.6,5.26,0,0,0,0,0,0,0,0
 10-12,0,31.47,0,66.09,0,3.15,0,1249.35,0,0,0,0,0,12.59,0,0,0,0,0,0,0,1183.26,302.11,0,0,125.88,0,6.29,6.29,0,22.03,0,0,0,0,0,0
 14-21,0,0,0,5,27,13,0,4,0,0,0,2,0,0,22,0,0,0,201,0,70,190,440,0,0,0,0,3,0,7,1,1,10,13,0,1,0
 24-34,0,0,0.82,2.46,4.1,1.64,0,4.1,0,0,0,0.82,0,0,13.95,0.82,0.82,0,26.27,0,3.28,25.45,88.65,0.82,0,0,0.82,7.39,0,0,0.82,0,0,5.75,0,1.64,0
 36-46,0,0,0,0,2.42,0,0,0.81,0,0,0,0,0,0,7.25,0,0,0,5.64,1.61,4.83,3.22,57.2,0.81,0,0,0,9.67,0,0,0.81,0,0,2.42,0,0,0
 48-58,0.57,0,0,0,0.57,0,0,1.72,0,0,0,0,0,0,4.59,0,0,0,6.89,0,1.72,2.3,14.35,0,0,0,0,2.87,0,0,0,0,0,0.57,0.57,0,0
 60-70,0,0,0,0,0.98,0,0,4.91,0,0,0,0.98,0,0,2.94,0,0,0,9.82,3.93,4.91,2.94,3.93,1.96,0,0,1.96,2.94,0,0,0,0.98,0,0,0.98,0,0
 72-82,0,0,0,0,0,0,0.98,4.91,0,0,1.96,0,0,0,6.87,0,0,0.98,13.74,2.94,11.78,2.94,0,0,0,0,0.98,0.98,0,0,0,0,0,0,2.94,0,0
 84-94,0,0,0,0,1.06,0,0,5.31,0,1.06,0,0,0,0,7.43,0,0,0,13.81,2.12,6.37,3.19,6.37,1.06,1.06,0,0,3.19,0,0,0,0,0,0,4.25,0,0
 96-106,0,0,1.09,0,0,0,1.09,5.46,0,0,0,0,0,0,8.74,1.09,0,0,6.56,1.09,6.56,3.28,1.09,1.09,0,0,3.28,3.28,0,0,0,0,0,0,1.09,0,0
108-118,0,0,0,0,0.77,0,0.77,3.83,1.53,0,0.77,0.77,0.77,0,4.6,0,0,0,4.6,0.77,9.96,6.89,2.3,0,0,0,1.53,0,0,0,0,0.77,0,0,1.53,0,0.77
120,0,0,0,0,1.96,0,0,5.88,0,0,0,0,0,0,1.96,0,0,0,0,3.92,23.52,3.92,1.96,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0
