stage,blastomeres,epidermis,exocrine_pancreas,eye,fin_mesenchyme,heart,iridophores,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pronephros,spinal_cord,taste
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0
 14-21,0,2,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0
 24-34,0,1.64,0,0.82,0,0,0,0,0,0,0.82,4.1,0,0,0.82,0,0.82,0.82,0
 36-46,0,0,0,0.81,0,0,0,0,0,2.42,0,8.86,0,2.42,0.81,0,1.61,1.61,0
 48-58,0,0,0,1.72,0.57,0,0,0,0,0.57,1.15,4.02,1.15,0.57,0.57,0,1.15,0.57,0
 60-70,0,0,0,1.96,0,0,0,0,0,0.98,0,0,2.94,0.98,0,0,0,0.98,0
 72-82,0,1.96,0,1.96,0,0,0,1.96,0,6.87,0,1.96,0,0.98,0.98,0,0,0,0
 84-94,0,0,0,5.31,0,0,1.06,0,0,2.12,0,1.06,1.06,1.06,1.06,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,1.09,1.09,0,1.09,1.09,2.19,0,0,0,1.09
108-118,0,2.3,1.53,0.77,0,0,0,0.77,1.53,3.06,0.77,0,2.3,0.77,0,0,1.53,0,0
120,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,1.96,0
